,feature_Infected_Ever_Yes,feature_Infected_Ever_No,feature_Number_Days_with_RFID_Data,feature_Average_Adjusted_Group_Size,feature_Eigenvector_Centrality,feature_Feeders_Visited_per_Day,feature_Feeding_Bouts_per_Day,feature_Instances_of_Aggression_per_Day,feature_Number_of_Captures,feature_Num_Unique_Indivs_w_which_Interacted_Aggressively,feature_Relative_Dominance,Male,Female,Sex_Undefined,feature_Time_on_Feeders_per_Day_in_Minutes,feature_Weighted_Degree
0,0,1,123,0.105701784,0.321557943,0.040650407,16.50406504,3.040650407,1,0.25203252,-0.027675154,0,1,0,4.658536585,1.12982713
1,0,1,96,0.098716409,0.257765991,0.03125,27.34375,4.052083333,2,0.270833333,0.007816572,1,0,0,6.022916667,0.980979487
2,1,0,38,0.102078092,0.115535249,0.052631579,29.94736842,6.763157895,2,0.552631579,0.084567495,0,1,0,13.19736842,0.559123389
3,0,1,81,0.097083305,0.301890614,0.024691358,18.28395062,3.271604938,3,0.209876543,0.012213632,1,0,0,3.688580247,0.94814557
4,0,1,6,0.185109156,0.000632869,0.166666667,30,2.666666667,1,0.666666667,0.295644924,1,0,0,24.96944445,0.077068395
5,0,1,12,0.06799128,0.004174938,0.25,6.5,1.083333333,1,0.583333333,-0.13593117,1,0,0,2.317361112,0.086312766
6,0,1,121,0.072017033,0.014301724,0.033057851,12.84297521,1.247933884,3,0.223140496,0.016740567,0,1,0,4.95922865,0.550507606
7,0,1,45,0.06866987,0.013445266,0.066666667,8.022222222,0.822222222,1,0.377777778,-0.137570055,0,1,0,1.191481482,0.363358395
8,0,1,2,0.054095238,0.000511976,0.5,5.5,1,1,0.5,0.053543465,1,0,0,0.35,0.115131579
9,0,1,34,0.071339953,0.001934334,0.029411765,8.970588235,2.558823529,1,0.382352941,-0.061629162,0,1,0,3.543627452,0.670415292
10,0,1,3,0.046675958,0.000155975,0.666666667,3,0.333333333,1,0.333333333,-0.325405805,1,0,0,0.219444445,0.196866925
11,0,1,19,0.062245315,0.000841854,0.052631579,10.26315789,1.473684211,1,0.578947368,-0.111553788,1,0,0,4.896052632,0.335850671
12,0,1,13,0.07368394,0.001643603,0.076923077,3.846153846,0,2,0,-0.083304345,1,0,0,0.174358974,0.066054619
13,0,1,2,0.078703704,0.000524433,0.5,7,0,1,0,-0.083304345,1,0,0,0.708333333,0.006071282
14,1,0,17,0.171912343,0.002484729,0.058823529,20.76470588,1.529411765,1,0.411764706,-0.018905376,1,0,0,25.19460785,0.186041217
15,0,1,130,0.075701291,0.097670068,0.030769231,29.18461538,3.223076923,2,0.307692308,-0.050913049,0,1,0,6.448653847,0.801073382
16,0,1,129,0.081403117,0.256833819,0.023255814,33.76744186,3.751937984,1,0.209302326,-0.002111226,1,0,0,9.194315245,0.908661386
17,0,1,39,0.0572831,0.017345017,0.102564103,10.94871795,1.641025641,1,0.384615385,0.031138233,0,0,1,4.313675213,0.244666013
18,0,1,4,0.056005398,0.000106543,0.25,11.75,0.25,1,0.25,0.166695655,0,1,0,9.835416667,0.002278497
19,0,1,135,0.07207328,0.001203381,0.014814815,13.17777778,1.844444444,1,0.059259259,-0.076520129,0,1,0,6.186419753,0.4890316
20,0,1,26,0.083631048,0.004643346,0.115384615,13.38461538,2.153846154,2,0.423076923,0.000909692,1,0,0,7.944551282,0.24679913
21,1,0,41,0.091329431,0.000945563,0.073170732,5.707317073,0.975609756,1,0.12195122,-0.098707319,0,1,0,2.573373983,0.170029832
22,0,1,1,0.076923077,9.15E-06,1,2,0,1,0,-0.083304345,1,0,0,4.116666667,0.076923077
23,1,0,29,0.100345869,0.088449587,0.068965517,25.03448276,8.379310345,2,0.827586207,0.233944509,0,1,0,13.7387931,0.508795762
24,0,1,1,0.086206897,6.48E-05,1,3,0,1,0,-0.083304345,1,0,0,0.125,0.014525915
25,0,1,115,0.061385683,0.00223226,0.008695652,19.83478261,1.417391304,2,0.191304348,-0.032593574,1,0,0,5.470362318,0.628086318
26,0,1,9,0.074095909,0.008189214,0.222222222,4.777777778,0.777777778,2,0.444444444,-0.29499518,1,0,0,0.888888889,0.041788736
27,0,1,32,0.076211825,0.00431455,0.0625,16.59375,2.90625,1,0.5625,0.113081512,1,0,0,2.851302083,0.914193209
28,0,1,47,0.055402239,0.008656282,0.063829787,12.08510638,0.936170213,1,0.361702128,0.054211837,1,0,0,3.12890071,0.386893164
29,0,1,36,0.077656385,0.004212954,0.055555556,15.30555556,2.694444444,1,0.472222222,0.055880427,0,1,0,3.32824074,1.019071294
30,0,1,24,0.059193344,0.002677496,0.041666667,15.125,1.416666667,1,0.291666667,-0.026284425,1,0,0,2.446527778,0.656577006
31,0,1,5,0.047702027,8.63E-05,0.2,6,0.4,1,0.4,-0.028565221,0,1,0,1.645,0.024184269
32,0,1,71,0.064610557,0.017060374,0.042253521,16.52112676,1.014084507,1,0.267605634,0.001352723,1,0,0,3.414319248,0.497023877
33,0,1,23,0.070711298,0.003503518,0.130434783,4.260869565,0.47826087,1,0.391304348,-0.09886201,1,0,0,1.195289855,0.147841888
34,0,1,66,0.085494786,0.088399764,0.045454545,11.16666667,1.803030303,2,0.409090909,-0.135293817,1,0,0,2.327020202,0.595058806
35,1,0,94,0.061563233,0.01380563,0.021276596,15.25531915,1.574468085,3,0.244680851,-0.020256248,1,0,0,4.94751773,0.424810716
36,0,1,1,0.102040816,0.000449751,1,1,1,2,1,-0.809608725,0,1,0,0.883333333,0.024760243
37,0,1,101,0.081098943,0.001512352,0.01980198,11.93069307,2.643564356,3,0.118811881,-0.103000862,1,0,0,6.04059406,0.477356187
38,0,1,33,0.086510959,0.121032857,0.03030303,41.15151515,4.727272727,1,0.606060606,0.280654801,1,0,0,17.45126263,0.491805087
39,0,1,55,0.068365063,0.002075277,0.036363636,10.10909091,1.745454545,3,0.272727273,-0.140909097,1,0,0,3.087424242,0.738429693
40,0,1,8,0.069524621,0.00663285,0.5,14.5,2.75,2,1.375,-0.366184819,1,0,0,6.995833333,0.085218144
41,0,1,57,0.083359847,0.15535279,0.052631579,38.31578947,3.263157895,1,0.456140351,-0.017556837,1,0,0,10.04298246,0.691138916
42,0,1,9,0.094503588,0.0332831,0.111111111,23.44444444,3.333333333,2,0.888888889,-0.203763308,0,1,0,9.391666667,0.157241355
43,0,1,19,0.082522029,0.037777449,0.105263158,9.315789474,0.368421053,1,0.368421053,-0.169173919,1,0,0,1.04122807,0.16993468
44,0,1,44,0.097697288,0.128721091,0.022727273,22.43181818,3,1,0.454545455,0.071962443,1,0,0,6.995075758,0.586718866
45,0,1,17,0.062267086,0.000700057,0.117647059,6.411764706,0.470588235,1,0.352941176,0.168089515,0,1,0,1.291176471,0.297532582
46,0,1,2,0.069194062,8.67E-05,0.5,1,0,1,0,-0.083304345,1,0,0,0.054166667,0.044187996
47,0,1,19,0.072984555,0.000282437,0.052631579,16.21052632,0.315789474,1,0.105263158,-0.107125859,1,0,0,3.66754386,0.071695661
48,0,1,42,0.060794443,0.007599972,0.071428571,13.97619048,0.738095238,1,0.30952381,-0.154479302,0,1,0,3.767460317,0.2766209
49,0,1,26,0.066889124,0.002884631,0.076923077,16.76923077,2.461538462,3,0.538461538,0.116294307,1,0,0,4.919551282,0.50326102
50,0,1,2,0.08180008,4.34E-05,0.5,32,1.5,1,1.5,0.553543465,1,0,0,8.758333333,0.027355139
51,0,1,93,0.065211854,0.002123479,0.010752688,18.76344086,1.806451613,3,0.182795699,0.060442731,0,1,0,6.337724015,0.761650352
52,0,1,1,0.074074074,1.76E-06,1,1,0,1,0,-0.083304345,0,1,0,0.008333333,0.1
53,0,1,103,0.094561194,0.304496538,0.019417476,32.75728155,5.466019417,2,0.223300971,-0.020450827,1,0,0,7.260598705,1.070624248
54,0,1,96,0.101489668,0.338180265,0.020833333,31.53125,4.71875,1,0.208333333,-0.016855076,0,1,0,5.813368055,1.128668354
55,0,1,5,0.045208227,1.48E-05,0.4,3.6,0.2,1,0.2,-0.228565221,0,1,0,3.148333333,0.111949517
56,0,1,18,0.055254599,0.020424992,0.166666667,11.61111111,1.388888889,1,0.5,-0.239439624,1,0,0,4.560648148,0.121702564
57,0,1,1,0.1,3.22E-06,1,3,0,1,0,-0.083304345,1,0,0,3.85,0.002255151
58,1,0,5,0.065158589,0.001502326,0.4,2.6,0.6,1,0.6,-0.173826097,1,0,0,1.5,0.05461292
59,0,1,1,0.146341463,6.66E-05,1,1,0,1,0,-0.083304345,1,0,0,0.3,0.044510054
60,0,1,1,0.068965517,0.000712879,1,2,1,2,1,0.916695655,0,1,0,0.641666667,0.015873016
61,0,1,103,0.075815046,0.063292254,0.029126214,21.12621359,2.961165049,2,0.242718447,-0.081360493,1,0,0,3.279854368,0.664170118
62,0,1,20,0.059049666,0.006158287,0.2,11.6,0.7,2,0.45,-0.051195659,0,1,0,2.526666667,0.253281874
63,0,1,4,0.108793044,0.024794562,0.5,24.75,10.75,1,3.25,0.600934707,0,1,0,9.370833333,0.16092178
64,1,0,73,0.065848688,0.050362809,0.04109589,22.09589041,1.136986301,4,0.356164384,0.031478257,1,0,0,5.973858447,0.460125034
65,0,1,2,0.04859335,4.15E-06,0.5,3,0,1,0,-0.083304345,0,1,0,1.591666667,0.001642036
66,0,1,4,0.056568589,0.000225413,0.5,2,0.25,1,0.25,0.166695655,1,0,0,0.429166667,0.066071085
67,0,1,35,0.075802384,0.011584342,0.057142857,11.08571429,1.542857143,1,0.428571429,0.171434779,0,1,0,1.987857143,0.442097258
68,0,1,5,0.067836804,0.000734065,0.2,7.2,0.4,1,0.4,-0.373826097,1,0,0,1.018333333,0.173541559
69,0,1,2,0.095636392,0.001476696,0.5,28.5,10,1,5,-0.625369672,0,1,0,6.845833333,0.323522421
70,0,1,1,0.055555556,0.001562916,1,4,2,1,2,0.190391275,1,0,0,1.491666667,0.005246038
71,0,1,1,0.046130952,0.010550789,2,75,11,1,5,3.190391275,1,0,0,26.68333333,0.035913074
72,0,1,7,0.078195326,0.001704489,0.428571429,10.42857143,2,2,1.428571429,-0.731409976,0,1,0,2.1,0.501383425
73,1,0,17,0.06077336,0.010961306,0.176470588,21.70588235,1.235294118,1,0.647058824,-0.291347841,1,0,0,5.68627451,0.262015444
74,0,1,14,0.050916669,0.003544977,0.142857143,8.785714286,0.857142857,1,0.5,-0.251720508,0,1,0,1.745238095,0.102723029
75,0,1,93,0.102423851,0.266911359,0.021505376,29.35483871,5.225806452,3,0.290322581,0.015622717,1,0,0,7.906272402,1.046704826
76,0,1,3,0.089423077,0.00332061,0.666666667,6.333333333,2,1,1.666666667,-0.142942058,0,1,0,1.094444445,0.029927144
77,1,0,10,0.072329343,0.005843881,0.2,50.5,5.2,3,1.1,0.453543465,1,0,0,62.5475,0.187485673
78,0,1,123,0.086629407,0.246576024,0.016260163,19.8699187,2.87804878,2,0.203252033,-0.089036059,1,0,0,4.062669377,0.881484743
79,0,1,9,0.062444169,0.000553438,0.222222222,10.88888889,1.111111111,2,1,-0.314874419,0,1,0,3.855555555,0.187697075
80,0,1,32,0.068639568,0.00236288,0.0625,19.53125,2.28125,2,0.46875,0.118672548,0,1,0,4.526822917,0.588546853
81,0,1,49,0.066296721,0.00214461,0.020408163,18.55102041,2.428571429,2,0.367346939,-0.095975163,1,0,0,3.551360545,0.757006097
82,1,0,31,0.040262073,0.000100007,0.064516129,9.935483871,0,1,0,-0.083304345,0,1,0,5.731182795,0.092384666
83,0,1,6,0.09153576,0.00176454,0.333333333,3.5,0.5,1,0.5,0.416695655,0,1,0,0.623611111,0.084220852
84,0,1,39,0.066621605,0.002204834,0.025641026,15.82051282,2.076923077,1,0.435897436,0.10806131,0,1,0,3.952564103,0.714752855
85,0,1,57,0.065553754,0.00187045,0.01754386,11.52631579,1.456140351,1,0.245614035,-0.156431737,0,1,0,4.685526315,0.659314815
86,0,1,7,0.093725553,0.012146951,0.142857143,12.71428571,3,1,1,0.709180117,0,1,0,6.389285715,0.098785786
87,0,1,71,0.057086049,0.001492085,0.014084507,10.81690141,0.915492958,3,0.253521127,0.066585426,0,1,0,4.498356808,0.415900617
88,0,1,137,0.084162906,0.268141275,0.01459854,32.10218978,4.364963504,1,0.211678832,-0.010156144,1,0,0,6.983150852,0.921159597
89,0,1,43,0.076084263,0.026689796,0.093023256,11.60465116,0.697674419,1,0.372093023,-0.106312442,1,0,0,2.609496123,0.228903902
90,0,1,64,0.08638478,0.243610678,0.015625,31.625,4.828125,1,0.265625,-0.016361417,0,1,0,6.840364583,0.8132739
91,0,1,14,0.064660617,0.010433868,0.285714286,8.428571429,0.642857143,2,0.357142857,0.098652172,1,0,0,1.292857143,0.108538482
92,0,1,6,0.068643496,0.007458412,0.333333333,25,2,1,0.833333333,0.220210132,1,0,0,12.65694445,0.079219761
93,0,1,21,0.09731005,0.013966612,0.19047619,7.714285714,2.476190476,1,0.80952381,0.025474105,1,0,0,3.501587302,0.251261427
94,0,1,123,0.093390525,0.308391924,0.024390244,23.99186992,3.032520325,2,0.203252033,-0.026991165,1,0,0,4.981233062,1.024413406
95,0,1,5,0.060701872,0.001641602,0.2,15.2,0.2,1,0.2,0.116695655,1,0,0,3.475,0.031621637
96,0,1,5,0.075128323,4.36E-05,0.2,1,0,1,0,-0.083304345,1,0,0,0.183333333,0.017878826
97,0,1,16,0.07838449,0.002717243,0.0625,10.875,3.25,1,0.875,0.178543465,0,1,0,3.316666667,0.752171057
98,0,1,10,0.075822789,0.000381554,0.1,5.6,1.6,1,0.5,-0.001195659,1,0,0,1.766666667,0.197120148
99,0,1,5,0.073364265,7.55E-05,0.4,2.6,0.2,1,0.2,0.116695655,1,0,0,0.988333333,0.160713847
100,0,1,2,0.081196581,0,0.5,2,0,1,0,-0.083304345,1,0,0,1.808333333,0
101,0,1,2,0.091587855,0.000214633,0.5,1,0,1,0,-0.083304345,1,0,0,0.616666667,0.063265866
102,0,1,7,0.0835578,0.008431919,0.142857143,16.14285714,1.142857143,1,0.428571429,-0.251720508,0,1,0,7.88452381,0.096715693
103,0,1,8,0.080914923,0.009595412,0.25,7.75,2,3,0.75,-0.12803263,1,0,0,3.475,0.080965123
104,0,1,5,0.045256486,2.78E-05,0.4,3.8,0.4,1,0.4,-0.373826097,1,0,0,0.956666667,0.014271256
105,0,1,63,0.049275838,0.009017257,0.047619048,17.3015873,0.777777778,1,0.238095238,-0.137938582,1,0,0,4.185714285,0.344800257
106,0,1,3,0.09221968,0.008315972,0.333333333,15.66666667,4,1,2,0.281623149,0,1,0,5.175,0.046117308
107,0,1,135,0.07000796,0.001200128,0.014814815,18.4,2.718518519,2,0.074074074,-0.043537841,1,0,0,11.14487654,0.557924908
108,0,1,133,0.070241074,0.001360249,0.015037594,20.07518797,2.428571429,2,0.067669173,-0.08733998,1,0,0,8.76867168,0.50713896
