,nodes,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
23,3867,1726,1535,1909,653,1539,2330,2814,119,1644
30,1508,1948,3152,1082,861,2484,846,920,224,3097
35,3385,1948,3152,1301,2928,405,846,920,1907,2185
49,1295,1121,509,490,861,2124,757,920,224,810
53,4667,2858,294,49,2940,844,861,1114,2086,2323
76,2299,515,294,653,2044,2063,920,224,810,2964
77,5803,1234,3152,2984,1515,2323,48,920,224,810
118,1600,1554,1191,1735,653,3164,920,224,810,2604
121,5610,1051,1417,2583,2024,653,287,3164,920,1907
144,5115,308,3152,2702,653,210,48,920,224,3097
153,6941,2248,911,1294,861,152,2063,920,224,810
158,133,2248,2446,1936,653,1539,1085,920,224,810
165,494,3040,2770,2334,2928,2012,2063,920,224,810
167,602,194,3152,2300,947,846,1340,653,920,1144
168,1476,1948,3152,917,507,653,359,3084,920,224
177,1774,1234,3152,2281,2251,2323,1963,2063,920,224
178,3047,308,3059,861,2611,2003,920,224,810,1130
197,6659,89,2446,2334,845,861,425,2282,920,224
199,2845,308,3152,333,653,2956,2330,2814,119,1644
203,4383,1449,1535,2090,861,2484,1085,920,224,3097
206,1775,1951,2770,1464,653,2668,3062,2814,119,1644
233,4328,2352,1535,1909,653,1539,2282,920,224,810
250,3915,1051,294,496,846,759,1085,920,224,3097
264,5714,1234,3152,1541,633,653,2243,2282,920,224
268,934,1951,421,1053,2323,1963,48,920,224,810
271,1025,515,294,1460,798,846,673,846,920,224
276,3285,2248,433,2263,846,2410,266,2814,119,1644
279,5106,1550,1417,48,102,2063,920,224,810,754
280,3486,1234,3152,496,846,1372,2282,920,224,810
283,1427,308,3152,3059,861,2845,1649,920,224,810
290,726,1234,3152,1936,40,653,1539,2282,920,224
292,3726,308,3152,2212,846,759,1649,920,224,810
297,438,89,2864,2908,723,844,653,2322,3084,920
311,3900,1521,1222,677,1217,2323,2070,846,920,224
345,3728,308,3152,2281,2928,473,757,920,224,810
347,94,2554,294,3059,861,489,2063,920,224,810
354,727,1521,1191,3091,653,1225,1649,920,224,810
356,1795,1234,3152,1301,1047,1527,2063,920,1907,2185
367,3819,1948,421,1936,861,425,3023,920,224,810
408,3897,1550,1191,496,861,621,861,920,224,810
411,6385,308,3152,490,653,210,2063,920,224,810
431,6250,1521,1191,2481,846,759,2063,920,1907,1612
443,4155,1234,3152,1294,2257,2928,461,2063,920,224
445,3379,1951,3152,2984,861,152,1777,920,224,810
448,4849,2554,2060,2984,1846,653,1225,861,920,224
464,430,1234,3152,653,1304,757,920,224,810,545
483,152,3040,2060,2908,723,844,861,1114,710,3084
488,2343,194,221,2354,656,2928,809,861,920,224
506,4405,308,3152,49,2940,844,2928,813,1047,920
508,24,454,509,1909,861,107,2330,2814,119,1644
514,351,515,3152,1513,1515,653,2243,1047,920,224
530,6989,1234,3152,1301,653,2668,2282,920,1907,2185
541,1336,308,3152,967,861,621,846,920,224,810
584,5973,1726,509,2334,2928,473,1649,920,1907,2185
605,1398,1234,3152,49,2940,844,846,3003,3001,3084
618,3749,308,3152,496,1324,2928,1659,846,920,224
619,1812,308,3152,2140,2873,653,1539,1174,920,224
629,1095,515,1222,51,1942,507,2928,813,2323,1821
638,2588,308,3152,1464,1047,2076,2063,920,1907,2185
647,5281,1521,1191,466,846,2987,2063,920,224,3097
668,755,1550,2060,2440,1551,653,359,3164,920,224
676,210,308,3152,1798,1247,861,2484,846,920,1144
694,6027,1951,165,2122,1832,861,1114,2323,920,224
711,2240,1521,307,51,1942,507,861,1114,1315,861
717,6052,2554,476,2620,236,861,2260,861,920,224
722,885,1234,3152,1301,1429,653,1093,757,920,224
740,3863,1234,3152,496,846,48,920,224,810,734
742,4456,1234,3152,2984,653,54,2063,920,224,810
754,462,2846,2060,2908,723,507,861,1974,48,920
774,3725,1521,3152,2334,40,2928,1126,48,920,224
802,6143,1051,3152,3047,660,989,2323,3164,2220,920
803,6801,194,1191,496,2404,861,919,1649,920,224
804,6802,515,3152,1301,2928,473,2282,920,224,810
807,6605,2665,1417,2281,653,600,247,920,224,2867
843,1973,1951,1143,2908,723,507,2928,2518,2323,920
851,1180,515,3152,3128,861,152,846,920,224,810
853,4071,1234,3152,2984,2251,846,1687,1777,2814,119
859,737,1234,3152,2334,2928,188,653,920,224,810
870,601,1234,3152,2387,450,653,359,861,920,224
896,617,308,3152,1883,1472,846,673,3164,920,224
897,264,1521,1191,1460,2152,846,984,247,920,224
900,1969,1449,294,677,846,759,1174,2814,119,1644
903,1585,3068,3152,428,653,126,356,920,224,2798
910,4349,1234,3152,1433,2928,2485,846,920,224,810
940,3371,1948,3152,1936,3154,653,1076,1649,920,224
946,1104,308,1294,3084,846,920,224,810,1013,1075
964,1188,194,294,1381,1467,942,507,893,2675,653
978,5731,1948,421,3059,772,653,1740,2063,920,224
981,4568,2846,2918,1909,861,107,2003,920,224,810
982,211,308,3152,452,861,213,3023,920,224,810
1010,828,1948,3152,1433,1047,2844,846,920,224,3097
1063,2082,1234,3152,2121,653,210,2323,920,224,3097
1070,1580,3040,1191,937,653,54,861,920,224,810
1073,1186,1234,3152,1513,653,210,1649,920,224,3097
1080,4707,670,509,677,2928,2139,1085,920,224,810
1093,3471,1234,3152,3091,653,2313,1085,920,224,810
1107,179,1234,3152,1351,2094,2928,2485,2323,920,1144
1119,5122,308,3152,333,653,2243,2928,920,224,810
1139,5446,1234,3152,2281,3162,653,1304,757,920,224
1141,5759,1951,3152,2334,846,1122,757,920,224,3097
1144,2993,1521,1191,937,653,811,1649,920,224,2621
1148,6073,1948,3152,2984,861,621,48,920,224,810
1186,4816,1948,1909,861,213,691,2814,119,1644,1108
1197,4680,2347,509,2255,798,846,759,1085,920,224
1200,6136,2858,1417,846,1924,2814,119,1644,667,2549
1211,1486,1234,3152,1301,2500,861,213,2063,920,224
1216,965,1948,421,1523,1472,861,2297,2063,920,224
1217,2614,308,2281,1769,2323,2289,757,920,224,810
1230,6109,1550,2060,2387,2024,861,1974,48,920,224
1244,6209,2554,1222,2984,653,210,653,920,224,3097
1264,569,515,221,496,1846,846,1881,3164,920,224
1266,1103,1234,3152,2263,861,2089,1747,2814,119,1644
1290,1138,1521,1079,2928,2518,48,920,224,3097,1722
1295,1426,1234,3152,2300,1872,861,1974,1047,920,1144
1306,3774,2605,1535,1186,1127,653,210,653,920,224
1320,6329,1951,2770,2952,653,1740,48,920,224,810
1369,193,2352,1618,1358,507,846,984,861,920,224
1376,6440,1234,3152,2334,2251,861,1594,2063,920,224
1380,2839,1234,3152,3155,1832,846,3003,3001,1649,920
1409,5294,2554,166,51,1942,3133,861,231,846,920
1424,5052,1948,3152,516,653,210,3164,920,1907,2185
1433,5934,1948,3152,2927,861,152,2063,920,224,810
1436,492,515,294,747,2796,861,152,247,920,224
1437,4230,1550,1417,333,1445,861,425,757,920,224
1438,560,2846,619,2281,846,1924,2063,920,224,810
1446,172,2554,1417,2702,137,861,1615,861,920,224
1462,6181,454,1535,2702,2141,861,2484,653,920,224
1497,6196,515,294,967,653,474,48,920,224,810
1506,4256,2554,2060,2281,846,1881,48,920,224,810
1507,30,3048,619,2334,1553,861,2611,757,920,224
1513,500,454,3152,677,702,2928,793,653,920,1907
1520,5639,1449,433,496,1515,846,1203,846,920,224
1541,1247,3068,1618,2121,2928,2485,48,920,224,3097
1545,1865,308,591,507,861,1114,2558,3084,920,1144
1559,4639,515,294,333,653,2331,691,2814,119,1644
1561,806,1948,421,1883,1824,653,2668,48,920,224
1567,4490,1951,2770,2593,87,861,2484,653,920,224
1568,5186,1234,3152,1081,948,861,2484,2928,920,224
1570,2069,1234,3152,677,653,811,1649,920,1907,2185
1575,4242,1234,3152,1909,2432,2323,1963,2063,920,224
1586,5210,1234,3152,1053,1235,861,213,653,920,224
1598,5120,1948,421,833,861,152,2063,920,1907,2185
1600,932,1550,3152,1909,2344,653,2243,757,920,224
1621,2203,515,3152,1053,1515,846,654,2928,920,224
1639,5866,2605,619,1936,653,2243,2063,920,224,810
1657,779,1948,3152,2927,2509,2928,461,2323,920,224
1676,387,515,1943,1798,1127,653,359,846,920,1144
1678,4863,1948,421,1909,861,2089,510,2814,119,1644
1688,3401,1234,3152,2025,846,1582,1747,2814,119,2996
1695,431,1550,911,496,1795,861,152,48,920,224
1716,5800,2347,619,2121,656,861,2427,3084,920,224
1725,1014,308,3152,1381,1467,942,507,893,2675,653
1734,715,515,1222,1381,1467,942,507,893,2675,846
1736,4213,3048,1191,2334,653,1932,2330,2814,119,451
1759,793,308,3152,3059,653,1403,757,920,224,810
1773,4406,1234,3152,1858,861,2089,992,2814,119,1644
1784,1977,2846,619,2984,1145,846,1881,2282,920,224
1793,1557,1948,3152,1081,2509,861,2505,861,920,224
1800,4139,2846,476,2,536,861,2555,3164,920,224
1807,1937,1948,421,3047,1201,989,2323,595,2855,2323
1818,3168,2846,307,1465,653,2668,3164,920,224,393
1834,827,515,1943,1541,1194,861,44,3023,2814,119
1839,3643,1948,421,2017,653,1499,2063,920,224,810
1841,1050,1234,3152,629,507,846,1203,1649,920,224
1850,185,1121,1417,496,767,653,600,48,920,224
1867,6038,515,3152,1523,2928,1659,2063,920,224,810
1869,6883,1133,2060,677,653,1093,2282,920,224,810
1883,795,1234,3152,1081,861,2484,48,920,224,810
1889,6590,2846,1713,967,702,861,2484,3023,920,224
1893,1237,1121,2918,2334,861,1621,3164,920,224,3097
1912,6121,1951,2770,2281,772,653,255,757,920,224
1913,3921,2858,166,1541,2462,2928,1126,846,920,1907
1923,5069,1951,1565,1936,861,1955,861,920,224,810
1937,3961,2605,2770,967,861,3063,2063,920,224,810
1970,1309,2347,509,2908,507,653,2322,2323,920,1144
1976,3688,194,476,1294,861,213,2282,920,224,810
1977,736,1234,3152,1081,1187,653,2243,653,920,224
2000,2472,1726,2918,490,653,2243,48,920,1907,2185
2004,4699,1121,294,2663,861,2484,2063,920,224,810
2019,5288,2347,1417,2556,653,2668,2003,920,224,810
2028,4210,1234,3152,833,1394,861,420,1649,920,224
2043,1613,2554,2060,1053,846,2935,2919,920,224,810
2045,675,1948,421,1909,653,1093,2003,920,224,810
2050,2913,2605,433,1294,653,1093,2282,920,1907,2185
2071,1072,1051,1222,629,846,759,861,920,224,3097
2077,2305,1948,421,1883,1832,846,673,2323,920,1144
2114,742,1948,421,968,2286,861,1974,2063,920,224
2119,2129,1121,1191,1464,653,1403,2282,920,1907,2185
2130,1601,194,1535,3059,861,2297,1777,2814,119,1644
2134,1886,1121,294,1883,861,2484,3084,920,1144,1761
2141,2654,2598,1417,1318,861,1751,2063,920,224,2867
2142,3847,515,294,2281,2251,653,600,1649,920,224
2144,3760,1948,421,861,2611,3062,2814,119,2996,86
2166,1303,308,3059,846,1203,861,920,224,2867,819
2179,4701,1550,3152,2090,2094,653,2726,2928,920,224
2182,4933,194,2464,677,2928,1126,757,920,224,810
2184,1582,1948,3152,1081,491,653,1225,2282,920,224
2203,5554,1121,1191,2281,653,2668,2282,920,224,810
2204,1132,1948,1565,2104,2716,861,1974,846,920,224
2210,124,3040,221,3091,653,2956,846,920,224,810
2233,917,2598,2918,1081,861,152,1085,920,224,3097
2240,3440,1951,2770,861,425,2063,920,224,810,553
2243,1807,515,221,1513,653,2668,1649,920,224,3097
2245,6001,308,2281,846,2999,2003,920,224,810,588
2271,900,2554,2060,1301,1970,2928,1616,1085,920,224
2288,622,1234,3152,1513,861,152,653,920,224,2867
2293,2783,308,1883,1832,2323,1501,48,920,1144,1761
2306,372,308,3152,333,653,2331,2003,920,224,810
2314,5094,308,3152,516,861,1047,920,1907,2185,3066
2318,1858,308,3152,1301,861,1621,1649,920,1907,2185
2320,1243,1051,1079,49,844,846,3003,3001,2928,920
2325,4839,1948,3152,1523,861,152,2063,920,224,3097
2327,4201,515,221,1464,653,1403,510,2814,119,2996
2330,2529,1521,1222,452,2425,846,2176,2282,920,224
2332,4589,1234,3152,1465,861,213,653,920,224,3097
2344,2849,3048,1417,677,846,3103,3164,920,224,810
2368,6075,2554,2060,1464,653,1403,3023,920,224,810
2388,1461,1521,421,496,846,673,2003,920,224,3097
2400,370,3040,294,333,861,1751,2330,2814,119,1644
2403,4620,1051,911,2281,2848,846,2176,2063,920,224
2417,2792,2605,911,357,653,210,2063,920,224,810
2429,38,1449,2918,49,198,2024,861,1974,846,920
2435,1604,1449,1535,1294,2928,1126,1777,920,224,810
2445,3654,1951,3152,2687,2458,2923,861,1974,2928,920
2474,4124,1948,421,1828,2928,2012,2282,920,224,810
2480,487,1550,2060,1513,861,2611,3164,920,224,810
2486,607,308,3152,2334,846,3103,1649,920,224,810
2489,2887,1051,619,1909,2928,1785,2330,2814,119,1644
2497,3084,1521,1535,1081,861,2484,3164,920,224,393
2503,428,1948,421,496,491,846,121,846,920,224
2507,3278,1521,421,1828,1286,653,2243,48,920,224
2516,2888,1234,3152,2334,653,1304,2282,920,224,810
2533,5581,3068,1417,1301,674,861,1789,1649,920,224
2548,1515,2347,166,967,2405,861,2611,2063,920,224
2556,1904,308,3152,1909,653,1499,3164,920,224,810
2558,693,2846,421,499,1360,48,1939,2928,920,1144
2559,6530,1234,3152,1464,653,1304,2919,2814,119,1644
2584,6081,308,3152,2984,861,44,3084,920,224,810
2626,2474,1234,3152,1053,1721,861,3063,2282,920,224
2648,173,2347,2446,2121,1875,653,1225,1085,920,224
2666,2026,438,221,333,861,425,1281,2814,119,1644
2674,708,1234,3152,2593,2509,861,1974,846,920,224
2676,4786,2605,1222,3155,1220,680,861,1114,861,920
2702,2379,1234,3152,1883,1551,653,359,1085,920,1144
2705,1650,2554,3152,333,861,213,3164,920,224,810
2710,4159,1449,1191,956,798,861,736,3164,920,224
2711,2090,839,3152,87,653,2395,846,920,224,2798
2720,5224,308,3152,333,846,2410,2919,2814,119,1644
2730,3886,515,1222,3059,846,2410,2919,920,224,2867
2732,1118,1521,3152,1226,507,861,3148,2323,920,224
2743,26,1948,3152,333,653,1403,2919,2814,119,1644
2746,1142,1234,3152,3059,861,1594,691,2814,119,1644
2752,5253,308,3152,1301,653,2243,1649,920,224,810
2754,2195,2605,2465,1523,87,861,3049,1085,920,224
2764,461,1234,3152,2121,56,653,784,861,920,224
2774,1410,308,3152,1820,450,2928,653,920,224,2798
2777,1400,1234,3152,1053,861,213,3023,920,224,3097
2797,5236,1234,3152,9,861,2124,3164,920,224,810
2803,5949,1948,1565,496,207,861,152,2282,920,224
2805,2218,1550,3152,2556,861,68,2282,920,224,810
2816,5133,515,3152,2984,861,2260,3164,920,224,3097
2818,1011,1550,509,1399,2796,2323,2070,1649,920,224
2850,5747,1234,3152,3091,861,621,757,920,224,810
2851,5813,1234,3152,2334,861,1594,2282,2814,119,1644
2871,212,308,3152,2090,861,1974,2928,920,224,3097
2872,752,1521,1079,2984,653,2243,2282,920,224,810
2888,2814,1550,2060,677,2405,846,3103,2063,920,224
2895,2957,1951,2770,1301,653,811,3023,920,224,810
2905,2270,2846,2918,1936,846,1687,2282,920,224,810
2915,667,1951,3152,2927,1177,861,213,48,920,224
2939,5870,308,3152,496,3162,861,152,2282,920,224
2945,3149,1234,3152,3047,656,861,231,3164,920,1907
2952,2438,438,1417,2090,1247,861,1974,48,920,1144
2960,2303,2598,3152,2334,2928,2607,3164,920,224,810
2969,3443,515,352,2666,861,1974,1047,920,224,3097
2979,3691,1550,1417,452,2515,653,1304,2928,920,224
2995,1512,308,3152,2702,861,1974,1085,920,224,3097
2997,6485,308,1294,3084,2022,3164,920,1907,2185,358
2998,3577,1521,2005,1909,2928,1126,3164,920,224,810
3004,1241,2605,433,1381,1467,942,507,893,2675,861
3012,6481,1951,421,496,589,861,1190,846,920,224
3020,1026,2605,509,2334,861,1955,2063,920,224,810
3025,3262,2347,911,1301,653,811,3164,920,1907,1612
3030,429,1051,911,1883,692,653,126,2928,920,224
3032,5146,2846,619,1464,861,2611,3023,920,224,810
3044,99,515,294,496,846,759,846,920,224,393
3056,3638,515,294,967,861,213,1649,920,224,810
3060,6609,89,294,1301,2928,473,1085,920,224,810
3061,2545,1554,1535,937,3029,2928,1929,2063,920,1907
3066,4083,1234,3152,1050,507,653,2853,653,920,1907
3069,2007,515,3152,496,861,213,3164,920,224,3097
3072,6399,308,3152,677,349,2928,920,1907,2185,2497
3090,4127,1051,3152,937,861,2013,846,920,1907,2185
3120,1766,1234,3152,3155,961,653,2224,48,920,1144
3121,639,308,3152,937,861,2484,846,920,224,3097
3126,2924,1726,1535,2281,2769,861,425,846,920,224
3134,1773,670,619,2025,846,1582,530,2814,119,1644
3145,953,1521,1535,1872,653,2528,653,920,224,2798
3162,166,89,1618,1858,861,107,1747,2814,119,2996
3170,4723,308,3152,1301,2928,1616,1649,920,1907,2185
3179,1435,438,2060,1883,2042,861,1974,861,920,1144
3187,1084,1234,3152,3055,987,653,874,2063,920,224
3192,228,2554,619,1508,507,846,673,2330,2814,119
3197,5912,2248,3152,3059,674,861,2857,757,920,224
3206,3934,1234,3152,3155,1220,1120,861,1974,48,920
3210,1499,308,1381,1467,942,507,893,2675,2323,1501
3223,1946,1951,3152,2984,633,861,213,1085,920,224
3235,2002,308,3152,3059,861,1955,1649,920,224,2867
3284,1173,1234,3152,2281,861,489,757,920,224,810
3285,2840,1234,3152,1936,192,2928,1126,1085,920,224
3293,720,1951,3152,3155,1832,846,673,861,920,1144
3301,1275,1948,3152,1294,265,2928,2012,2063,920,224
3310,1334,1951,3152,861,2845,1085,920,224,810,545
3311,2690,1521,1191,1523,653,2063,920,224,810,1063
3330,1778,1948,421,516,186,861,1709,1777,920,224
3350,5969,1951,3152,1909,861,425,510,2814,119,1644
3369,4137,308,3152,2212,861,1834,2928,920,224,810
3383,1996,1449,1535,3059,861,489,3164,920,224,2867
3405,5846,2554,1417,2121,653,1569,861,920,1907,1612
3416,3270,2665,2918,1464,2928,2198,1085,920,224,2867
3437,412,515,3152,2928,495,2063,920,224,2798,2064
3441,3595,308,3152,1936,1412,2928,131,48,920,224
3475,1621,1951,3152,496,861,1615,846,920,224,810
3477,1108,308,3152,496,653,1093,861,920,224,810
3483,4141,1550,2770,1294,2323,1963,1649,920,224,810
3487,3803,2347,3152,1460,692,2323,2004,2928,920,224
