,nodes,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
4,5137,515,294,3022,2024,846,654,48,920,1144,1761.0
6,1803,1234,3152,2984,2928,188,1085,920,224,810,1620.0
15,6357,438,1535,1909,2437,861,107,1281,2814,119,1644.0
23,3867,1726,1535,1909,653,1539,2330,2814,119,1644,66.0
91,493,1554,1713,333,861,489,1281,2814,119,1644,2782.0
111,3642,1133,2864,357,1171,861,48,920,1907,2185,1043.0
115,6239,1234,3152,1294,3169,861,420,3023,920,224,810.0
157,3384,1521,1696,1301,2928,495,861,920,1907,2185,1043.0
158,133,2248,2446,1936,653,1539,1085,920,224,810,545.0
176,5786,1051,2918,1301,846,1372,861,920,224,810,2201.0
178,3047,308,3059,861,2611,2003,920,224,810,1130,1895.0
199,2845,308,3152,333,653,2956,2330,2814,119,1644,2131.0
201,6326,1726,3152,1301,2928,188,2063,920,224,810,244.0
229,4265,308,496,861,2611,3023,920,224,810,2337,2153.0
233,4328,2352,1535,1909,653,1539,2282,920,224,810,545.0
256,1952,1948,3152,51,1451,507,846,241,1047,1658,920.0
264,5714,1234,3152,1541,633,653,2243,2282,920,224,2867.0
265,2603,1234,3152,2481,692,846,673,2323,920,224,3097.0
268,934,1951,421,1053,2323,1963,48,920,224,810,1913.0
271,1025,515,294,1460,798,846,673,846,920,224,3097.0
276,3285,2248,433,2263,846,2410,266,2814,119,1644,2721.0
287,3493,89,3152,1186,861,44,861,920,224,2867,1656.0
291,4121,1121,2060,1464,2240,846,2176,757,920,224,810.0
301,2717,308,3152,3022,846,3003,2063,920,224,3097,329.0
307,855,194,1191,204,653,210,573,920,224,2798,606.0
312,6964,1521,1079,3155,1832,861,2073,48,920,1144,1761.0
323,579,2605,619,2334,846,759,2063,920,224,810,2204.0
371,2031,1234,3152,1513,846,1881,1085,920,224,3097,615.0
377,3268,3068,1417,1909,861,107,2919,920,224,810,338.0
399,5205,1550,509,3163,2928,793,861,920,1907,2185,3066.0
401,3170,515,165,3022,1361,846,151,2928,920,224,3097.0
403,6856,1521,1191,2498,653,48,920,224,3097,400,2549.0
409,411,1234,3152,967,319,2323,3164,920,224,810,85.0
420,4597,1948,421,3059,861,489,48,920,224,810,1369.0
422,5621,3048,1079,956,861,44,3164,920,224,810,1614.0
423,2448,2605,1079,1510,861,152,757,920,1907,1612,2777.0
426,200,2347,433,967,2928,1659,1649,920,224,810,2964.0
431,6250,1521,1191,2481,846,759,2063,920,1907,1612,2327.0
433,2963,1726,619,1936,861,1842,2282,920,224,810,2964.0
445,3379,1951,3152,2984,861,152,1777,920,224,810,2534.0
448,4849,2554,2060,2984,1846,653,1225,861,920,224,810.0
465,1268,1550,509,1936,861,213,1085,920,224,810,1686.0
466,5532,1121,294,1053,207,653,2243,1649,920,224,810.0
474,4869,308,3152,490,861,468,757,920,224,3097,400.0
488,2343,194,221,2354,656,2928,809,861,920,224,3097.0
508,24,454,509,1909,861,107,2330,2814,119,1644,547.0
524,6782,3040,2918,1294,861,425,757,920,224,810,394.0
530,6989,1234,3152,1301,653,2668,2282,920,1907,2185,1043.0
536,6112,1521,1222,1309,507,861,2669,2323,920,224,2798.0
565,2809,1051,1222,1465,861,2484,2063,920,224,3097,700.0
566,594,2858,1191,1460,1361,861,861,920,224,2798,278.0
604,2365,1948,3152,677,861,3023,920,224,810,3142,2585.0
606,1090,3040,2918,2440,507,861,2484,846,920,1144,1761.0
609,952,308,3152,2281,846,1203,1085,920,224,810,1007.0
614,6241,839,619,289,450,861,187,1085,920,224,3097.0
615,1751,2858,3152,289,1979,861,187,48,920,224,3097.0
630,4833,1951,421,1936,772,861,150,2063,920,224,810.0
638,2588,308,3152,1464,1047,2076,2063,920,1907,2185,588.0
662,4168,308,496,861,2164,1649,920,224,3097,615,1656.0
681,2260,308,1541,653,1440,861,920,1907,2185,3066,588.0
690,1893,1948,3152,2583,656,2928,239,2323,920,1144,1761.0
710,6912,2347,1191,51,1451,507,846,241,2323,132,920.0
743,1116,2347,433,1301,2928,1659,2063,920,224,810,553.0
774,3725,1521,3152,2334,40,2928,1126,48,920,224,810.0
776,6345,2554,1222,1081,1657,2323,2897,3164,920,224,810.0
785,3839,1948,1294,861,2845,1649,920,1907,2185,2538,1074.0
794,6280,89,2918,1464,861,213,266,2814,119,1644,2870.0
802,6143,1051,3152,3047,660,989,2323,3164,2220,920,1907.0
817,4285,2248,2918,2963,2928,1659,653,920,224,810,553.0
819,1623,1234,3152,3022,861,1974,2063,920,224,393,2361.0
821,5191,1234,3152,2334,846,2589,1085,920,224,810,1007.0
836,739,670,3152,1936,2928,1600,2282,920,224,810,2964.0
849,1144,1234,3152,677,2323,2070,2063,920,1907,2185,3137.0
858,4784,1234,3152,2687,507,653,359,1047,920,1144,1761.0
866,3138,1951,3152,1301,846,2003,920,224,810,2964,1074.0
868,748,1550,1191,1936,1187,861,425,846,920,224,810.0
887,5961,1948,421,51,2463,507,1047,1345,2928,920,1144.0
926,6149,308,3152,1622,656,653,359,3084,920,224,3097.0
930,3965,1521,1191,1510,861,231,3045,2814,2922,2293,860.0
935,2764,1051,1618,1510,2441,846,442,1649,920,1907,2185.0
940,3371,1948,3152,1936,3154,653,1076,1649,920,224,810.0
951,6111,2858,1417,835,948,2323,676,1649,920,224,810.0
968,5807,2248,1191,2702,2666,2928,578,3164,920,1144,1761.0
971,2820,1521,3152,3128,861,745,861,920,224,810,272.0
982,211,308,3152,452,861,213,3023,920,224,810,269.0
1003,4249,515,294,1798,948,653,359,653,920,224,3097.0
1015,5140,1521,1191,1541,991,861,2611,653,920,1907,2185.0
1028,6730,515,3152,2334,653,2243,1085,920,224,810,551.0
1049,226,1234,3152,1798,1998,653,359,653,920,1144,1761.0
1055,4925,2605,509,677,48,2282,920,224,810,545,1074.0
1060,1723,515,3152,1464,653,1093,3164,920,1907,2185,1678.0
1061,4883,1951,421,629,3084,1273,653,920,224,3097,400.0
1083,366,1951,421,937,861,2484,861,920,1907,2185,1043.0
1093,3471,1234,3152,3091,653,2313,1085,920,224,810,708.0
1106,4586,2605,2918,937,653,1225,1085,920,224,810,1614.0
1115,6622,454,1618,2066,164,989,653,359,3164,920,224.0
1116,5857,1948,3152,1464,861,213,2919,2814,119,1644,304.0
1120,2618,1554,2918,2984,861,425,3023,920,224,810,1290.0
1128,759,454,1417,1909,48,699,1649,920,224,810,1369.0
1138,6050,1521,1222,2818,1617,653,2891,3164,920,224,810.0
1166,2943,454,2918,1301,3084,2419,861,920,1907,2185,3137.0
1167,5489,515,294,1081,653,600,2928,920,224,393,1664.0
1200,6136,2858,1417,846,1924,2814,119,1644,667,2549,2524.0
1208,52,1449,3152,2937,48,3164,920,224,810,2964,1895.0
1217,2614,308,2281,1769,2323,2289,757,920,224,810,3142.0
1224,1721,1234,3152,653,600,757,920,224,810,1063,2549.0
1234,4133,1951,3152,1301,846,3103,1085,920,224,810,394.0
1235,5086,2858,619,2121,2024,653,287,1649,920,224,3097.0
1262,2599,1948,421,1936,861,1955,1085,920,224,2867,635.0
1266,1103,1234,3152,2263,861,2089,1747,2814,119,1644,667.0
1284,4533,1948,3152,2029,1788,653,2668,3164,920,224,810.0
1289,6223,1948,421,2212,653,600,1777,2814,119,451,635.0
1292,3002,1234,3152,357,987,861,1771,3164,920,224,3097.0
1293,6479,1948,3152,516,653,2668,757,920,1907,1612,2327.0
1304,6942,2605,1222,2984,861,2505,2282,920,224,3097,400.0
1340,6482,1234,3152,1936,653,1740,2282,920,224,2867,326.0
1372,4016,1550,509,2263,846,2787,992,2814,119,1644,667.0
1390,3885,1121,216,1095,494,1832,861,231,2063,920,1144.0
1392,4347,1521,1222,1936,846,1687,758,2814,119,1644,547.0
1405,581,515,1222,2263,653,2331,1747,2814,119,1644,276.0
1410,290,2858,2918,2984,861,2073,1085,920,224,3097,706.0
1422,4408,515,294,3091,3154,861,213,2063,920,224,810.0
1435,5370,194,1417,3022,846,151,1085,920,224,3097,400.0
1437,4230,1550,1417,333,1445,861,425,757,920,224,810.0
1438,560,2846,619,2281,846,1924,2063,920,224,810,3038.0
1479,1540,1521,1535,1186,2714,846,1029,846,920,224,810.0
1505,2047,2347,221,1081,861,2297,1085,920,224,3097,96.0
1507,30,3048,619,2334,1553,861,2611,757,920,224,810.0
1513,500,454,3152,677,702,2928,793,653,920,1907,2185.0
1515,358,1554,509,1464,1117,846,3103,1174,920,224,810.0
1527,2705,2846,2464,2281,861,468,757,920,224,810,553.0
1566,3580,2605,619,1541,2323,1963,48,920,1907,2185,1043.0
1600,932,1550,3152,1909,2344,653,2243,757,920,224,810.0
1627,542,2665,619,1523,674,653,1499,2063,920,224,810.0
1644,3999,1948,3152,2963,270,861,231,846,920,224,2867.0
1648,4689,1951,3152,2984,861,152,757,920,224,810,972.0
1657,779,1948,3152,2927,2509,2928,461,2323,920,224,810.0
1676,387,515,1943,1798,1127,653,359,846,920,1144,1761.0
1678,4863,1948,421,1909,861,2089,510,2814,119,1644,2131.0
1688,3401,1234,3152,2025,846,1582,1747,2814,119,2996,588.0
1692,2971,2554,619,899,446,2394,3084,1022,1047,920,1144.0
1715,2414,308,3152,1358,846,2987,48,920,224,393,2361.0
1740,2683,1948,1565,2334,1412,861,425,1649,920,224,2867.0
1749,2903,1051,1191,74,653,1944,846,920,1907,2185,1424.0
1773,4406,1234,3152,1858,861,2089,992,2814,119,1644,1198.0
1788,6405,308,3152,2334,861,1955,3023,920,224,810,545.0
1790,1850,1951,3152,2984,2928,473,2063,920,224,810,553.0
1794,3740,2846,619,496,2516,861,2484,2003,920,224,810.0
1797,3261,1948,3152,380,1931,2928,2600,846,920,1907,2185.0
1808,1414,2352,1535,333,653,1539,510,2814,119,1644,1108.0
1817,4374,1234,3152,1909,861,425,2330,2814,119,1644,1850.0
1823,6752,515,294,937,2928,1616,1649,920,224,2581,1968.0
1826,3825,1234,3152,2687,507,2928,1605,1085,920,1144,1761.0
1839,3643,1948,421,2017,653,1499,2063,920,224,810,2109.0
1844,3020,1948,3152,1541,2323,676,653,920,224,3097,400.0
1846,2821,1951,421,516,1899,861,52,2063,920,224,810.0
1853,1645,515,294,2121,1329,2323,2047,846,920,224,3097.0
1856,6064,438,3152,1464,846,759,3023,920,224,810,553.0
1864,4416,2846,2142,1622,2024,48,1939,3164,920,1144,1761.0
1867,6038,515,3152,1523,2928,1659,2063,920,224,810,708.0
1874,5065,308,3152,1541,1047,3164,920,1907,2185,3137,588.0
1886,6313,1948,3152,413,135,861,489,1649,920,224,810.0
1891,5409,1951,165,496,2258,861,468,1649,920,224,393.0
1893,1237,1121,2918,2334,861,1621,3164,920,224,3097,1997.0
1907,3764,515,3152,51,1942,989,846,3003,1566,1649,920.0
1916,1535,1640,3152,2334,653,600,691,2814,119,451,2568.0
1921,149,1948,421,2212,570,48,1939,2003,920,224,3097.0
1923,5069,1951,1565,1936,861,1955,861,920,224,810,85.0
1935,6898,194,1191,1081,861,468,48,920,224,810,553.0
1945,4089,1234,3152,3055,2323,653,920,224,3097,2151,1108.0
1965,5193,2248,433,2556,2294,846,1687,3045,2814,119,451.0
1971,4337,2554,619,2334,2323,48,920,224,810,277,1559.0
1988,4410,1234,3152,1095,2094,653,359,1085,920,1144,1761.0
2009,6895,1550,1618,677,2928,495,2063,920,224,810,2964.0
2012,3240,1051,476,1172,653,2243,2282,920,224,810,635.0
2033,3763,308,1318,861,152,2919,920,224,810,545,1295.0
2034,6395,1449,2060,915,2928,1126,3164,920,224,810,588.0
2036,1213,3068,1191,206,653,210,653,920,224,810,1614.0
2039,6474,1951,1565,1936,861,1594,3045,2814,119,1644,2906.0
2045,675,1948,421,1909,653,1093,2003,920,224,810,545.0
2049,554,1640,3152,2937,653,210,48,920,1907,2185,2549.0
2056,4282,515,294,1936,2928,1785,2003,920,224,810,1369.0
2058,1340,308,3152,2121,861,231,653,920,224,810,553.0
2066,1642,1948,3152,1622,507,846,2639,861,920,1144,1761.0
2082,1113,1121,433,3022,653,126,2063,920,224,3097,329.0
2089,1699,2347,3152,1294,2674,653,2243,3023,920,224,3097.0
2113,2131,3040,226,1915,1145,2928,303,846,920,224,2867.0
2121,3923,515,1222,1246,48,2063,920,224,3097,400,588.0
2130,1601,194,1535,3059,861,2297,1777,2814,119,1644,118.0
2141,2654,2598,1417,1318,861,1751,2063,920,224,2867,588.0
2144,3760,1948,421,861,2611,3062,2814,119,2996,86,928.0
2166,1303,308,3059,846,1203,861,920,224,2867,819,1656.0
2182,4933,194,2464,677,2928,1126,757,920,224,810,2827.0
2199,4932,308,3152,967,861,1621,48,920,224,810,2964.0
2203,5554,1121,1191,2281,653,2668,2282,920,224,810,602.0
2207,6853,1951,2770,1909,2928,473,3023,920,224,810,2827.0
2222,1445,308,3152,516,1979,2323,2298,48,920,224,810.0
2241,744,1951,3152,1274,2258,861,152,1085,920,224,810.0
2245,6001,308,2281,846,2999,2003,920,224,810,588,2734.0
2251,3747,1234,3152,1936,653,2243,2282,920,224,810,545.0
2272,4150,2554,2060,2984,653,2243,1085,920,224,810,553.0
2304,5874,1948,3152,2121,1515,861,213,3164,920,1907,2185.0
2306,372,308,3152,333,653,2331,2003,920,224,810,545.0
2330,2529,1521,1222,452,2425,846,2176,2282,920,224,810.0
2340,942,89,3152,1513,186,861,2172,2282,920,224,810.0
2343,6869,308,3152,1301,653,54,1085,920,224,810,553.0
2353,4200,308,3152,2984,861,283,2063,920,224,810,545.0
2364,6568,1726,619,2121,2928,892,2928,920,1907,1612,2327.0
2387,2919,1554,433,1294,861,152,3023,920,224,810,2201.0
2400,370,3040,294,333,861,1751,2330,2814,119,1644,66.0
2403,4620,1051,911,2281,2848,846,2176,2063,920,224,810.0
2411,5746,1234,3152,583,653,248,2282,920,1907,2185,1043.0
2421,5095,1550,1191,496,861,1320,1649,920,224,810,214.0
2430,3902,1948,3152,846,1924,758,2814,119,1644,2131,2549.0
2432,4167,515,1943,1513,861,1955,1085,920,224,810,1607.0
2435,1604,1449,1535,1294,2928,1126,1777,920,224,810,269.0
2436,6090,308,3152,677,846,1687,2282,920,224,810,2204.0
2439,2212,1951,2770,1464,861,152,1281,2814,119,1644,1850.0
2441,5690,1554,433,627,846,759,653,920,224,3097,2510.0
2468,3110,1234,3152,1828,767,653,2243,3164,920,224,810.0
2478,6402,515,1943,2300,846,1203,1649,920,224,3097,1722.0
2480,487,1550,2060,1513,861,2611,3164,920,224,810,2964.0
2484,3499,308,1464,2928,131,2063,920,224,810,394,2732.0
2489,2887,1051,619,1909,2928,1785,2330,2814,119,1644,3115.0
2495,6724,308,3152,374,2024,861,1974,846,920,224,3097.0
2501,7121,515,221,2,861,187,3164,920,224,3097,400.0
2505,2735,1550,1191,1541,2928,1661,846,920,1907,2185,1043.0
2507,3278,1521,421,1828,1286,653,2243,48,920,224,810.0
2510,3655,1948,421,2387,653,2103,48,920,224,3097,1583.0
2513,1987,308,3152,2702,2323,596,2282,920,224,3097,0.0
2529,2740,1948,3152,2263,846,2787,3116,2814,119,1644,2549.0
2531,1316,308,3152,171,3169,2323,2658,1085,920,1907,2185.0
2538,425,2846,1713,865,861,1974,573,920,224,3097,1025.0
2540,2014,1234,3152,1936,2323,2766,1649,920,224,810,1108.0
2542,66,1121,2060,2908,723,844,653,359,2928,1690,920.0
2552,6033,515,1222,2334,861,213,2282,920,224,810,545.0
2556,1904,308,3152,1909,653,1499,3164,920,224,810,1686.0
2559,6530,1234,3152,1464,653,1304,2919,2814,119,1644,66.0
2571,2660,308,3152,899,446,507,846,151,861,920,1144.0
2572,4029,2554,294,171,861,44,3045,2814,119,1644,404.0
2625,2531,1521,1191,2300,2094,653,856,2928,920,1144,1761.0
2634,449,1449,294,603,861,152,757,920,224,810,1448.0
2642,3012,2665,2918,2066,989,861,1114,3164,920,1907,1612.0
2650,2862,308,3152,1792,1297,861,44,3164,920,1907,2185.0
2667,2184,1948,3152,1294,653,2243,3164,920,224,2867,518.0
2682,1800,2598,2918,1095,494,1610,2928,2738,48,920,1144.0
2696,3762,1948,3152,2281,633,861,489,2282,920,224,810.0
2699,2639,308,3152,2984,2251,861,489,2282,920,224,3097.0
2705,1650,2554,3152,333,861,213,3164,920,224,810,545.0
2720,5224,308,3152,333,846,2410,2919,2814,119,1644,1370.0
2722,5328,1521,1191,1936,861,489,510,2814,119,1644,2414.0
2743,26,1948,3152,333,653,1403,2919,2814,119,1644,304.0
2746,1142,1234,3152,3059,861,1594,691,2814,119,1644,2131.0
2753,3905,1948,3152,1465,1433,861,1974,1174,920,224,3097.0
2768,7043,3068,509,1936,846,2410,510,2814,119,1644,406.0
2775,62,308,3152,1358,846,673,757,2814,119,451,1718.0
2802,4872,1951,2770,677,3084,653,920,224,810,545,1195.0
2849,3435,1550,1618,677,861,231,757,920,1907,2185,2538.0
2851,5813,1234,3152,2334,861,1594,2282,2814,119,1644,2414.0
2863,368,1234,3152,333,846,2787,3062,2814,119,1644,1850.0
2868,7053,1948,3152,2281,653,2668,2063,920,224,810,2604.0
2872,752,1521,1079,2984,653,2243,2282,920,224,810,553.0
2882,3093,308,3152,1095,1832,846,673,2928,920,1144,1761.0
2888,2814,1550,2060,677,2405,846,3103,2063,920,224,810.0
2905,2270,2846,2918,1936,846,1687,2282,920,224,810,2473.0
2908,5729,308,3152,642,2159,507,2928,1679,622,757,920.0
2922,2345,1234,3152,2263,861,1594,1649,920,224,810,1369.0
2928,3175,1051,221,1464,861,213,1085,920,224,810,545.0
2929,3453,308,3152,490,861,152,1777,920,224,810,553.0
2942,6045,1449,2060,1936,861,213,1174,920,224,810,2473.0
2964,5179,1951,3152,2984,1047,3164,920,224,2867,2128,635.0
2970,142,1948,28,2928,1126,2063,920,224,810,1391,2936.0
2979,3691,1550,1417,452,2515,653,1304,2928,920,224,810.0
3003,2088,3068,2465,2281,861,2164,2003,920,224,3097,1889.0
3018,2661,1948,3152,1172,861,213,3023,920,224,810,1091.0
3021,2916,1948,421,2984,653,210,2063,920,224,810,3142.0
3024,1520,308,496,2928,131,1085,920,224,810,2964,2479.0
3042,1598,515,3152,2263,861,107,992,2814,119,1644,1656.0
3061,2545,1554,1535,937,3029,2928,1929,2063,920,1907,2185.0
3065,2477,1121,3152,2583,1251,2928,2351,861,920,1907,1612.0
3072,6399,308,3152,677,349,2928,920,1907,2185,2497,2990.0
3096,3950,515,1222,1541,2323,1382,846,920,224,2867,1108.0
3117,4591,1948,3152,3059,846,2410,691,2814,119,1644,698.0
3121,639,308,3152,937,861,2484,846,920,224,3097,400.0
3134,1773,670,619,2025,846,1582,530,2814,119,1644,667.0
3142,4290,1234,3152,2952,653,210,3164,920,224,3097,301.0
3153,4539,1948,3152,1883,2503,861,1974,653,920,1144,1761.0
3160,4318,2846,1713,1301,1047,3127,3164,920,1907,1612,795.0
3162,166,89,1618,1858,861,107,1747,2814,119,2996,718.0
3169,7013,2605,509,1301,2323,2298,861,920,1907,2185,1043.0
3172,1995,515,294,1294,653,2668,757,920,224,810,602.0
3179,1435,438,2060,1883,2042,861,1974,861,920,1144,1761.0
3187,1084,1234,3152,3055,987,653,874,2063,920,224,810.0
3223,1946,1951,3152,2984,633,861,213,1085,920,224,810.0
3234,5844,1234,3152,3047,660,989,861,1114,250,846,2507.0
3235,2002,308,3152,3059,861,1955,1649,920,224,2867,518.0
3255,1882,438,1417,1936,2323,1963,653,920,224,810,394.0
3258,489,1951,3152,1541,3162,2323,1676,3164,920,224,810.0
3284,1173,1234,3152,2281,861,489,757,920,224,810,2201.0
3299,1718,1521,3152,1129,16,861,2484,861,920,1144,1761.0
3307,6147,438,2770,2281,846,1582,48,920,224,810,2964.0
3340,399,1951,3152,452,653,2243,2003,920,224,810,545.0
3348,4439,2554,619,333,2622,2928,473,3023,920,224,810.0
3350,5969,1951,3152,1909,861,425,510,2814,119,1644,797.0
3352,919,1951,2770,2334,861,425,1649,920,224,810,1369.0
3359,6943,454,1417,1464,2315,2323,2766,1085,920,1907,2185.0
3371,197,515,1222,2557,846,3103,1649,920,224,810,2964.0
3390,6056,194,619,1909,861,2089,510,2814,119,1644,2131.0
3415,5552,308,3152,490,861,152,3164,920,224,810,2250.0
3416,3270,2665,2918,1464,2928,2198,1085,920,224,2867,1764.0
3426,5691,308,3152,1301,2928,2030,757,920,1907,2185,1424.0
3433,1040,1521,1535,1510,656,861,2484,846,920,1907,2185.0
3441,3595,308,3152,1936,1412,2928,131,48,920,224,810.0
3443,1402,1521,421,1909,861,213,2919,2814,119,1644,1370.0
3452,3040,2248,433,2121,2743,861,213,846,920,224,3097.0
3457,529,1051,1222,9,861,2484,846,920,224,3097,400.0
3462,4555,515,221,3059,861,2297,2003,920,224,810,2117.0
3470,3182,2554,1565,357,2928,2485,2063,920,224,3097,400.0
3473,2894,2858,1417,677,653,1932,1649,920,224,810,2964.0
3491,2001,1726,1535,1513,861,152,846,920,224,810,464.0
3501,4793,1234,3152,2281,861,1437,2063,920,224,810,551.0
3519,6962,2598,294,1681,861,107,2919,2814,2922,1384,2549.0
3521,6569,2605,3152,2017,2928,473,846,920,224,810,3142.0
3556,2201,2347,509,1318,846,1582,992,2814,119,1644,1198.0
3606,3275,1234,3152,1936,861,1955,1085,920,224,810,1369.0
3614,1901,308,3152,2984,653,1569,846,920,224,810,1620.0
