,nodes,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
3616,6236,1234,3152,2281,846,1881,2282,920,224,810,602.0
3619,5032,1234,3152,496,385,861,425,3023,920,224,810.0
3671,5825,1234,3152,861,107,1777,920,224,810,602,1607.0
3694,3031,2554,2465,3059,861,2484,1777,2814,119,1644,2208.0
3700,6135,515,1222,2334,1014,2323,2291,2282,920,224,810.0
3701,1976,2347,1417,2121,2509,861,225,2063,920,224,3097.0
3705,6926,515,294,967,653,2243,1085,920,224,810,3142.0
3713,4940,515,3152,677,2928,1035,48,920,1907,2185,1678.0
3716,454,1951,2770,2334,2928,1785,1085,920,224,810,1913.0
3731,6716,1948,421,2263,861,107,1281,2814,119,1644,2244.0
3760,1666,1550,221,1274,653,1093,2063,920,224,810,2193.0
3767,6756,438,1417,1464,861,213,757,920,224,810,545.0
3777,6210,454,433,1464,861,213,757,920,224,810,1428.0
3778,6104,1234,3152,2984,385,861,152,1085,920,224,810.0
3800,7021,1234,3152,1936,2769,653,248,1649,920,224,810.0
3807,3436,2846,2060,1936,3084,2835,2323,920,224,810,545.0
3809,1190,2665,1417,864,1931,3084,652,1649,920,1907,2185.0
3816,6397,1951,3152,677,846,1881,2282,2814,119,1644,2091.0
3823,4665,1199,3152,1936,1014,861,2297,2003,920,224,810.0
3826,6731,1521,1191,2984,653,2224,1085,920,224,3097,400.0
3833,2899,2665,509,1464,861,213,1174,920,1907,2185,1678.0
3843,1283,2846,619,333,846,1122,2919,2814,119,1644,1850.0
3855,5655,1951,2770,1541,653,2071,48,920,224,810,553.0
3891,5269,2846,3152,333,861,2089,3116,2814,119,1644,667.0
3893,2430,1521,1079,374,353,861,231,48,920,224,3097.0
3896,3462,1948,421,2281,861,152,2063,920,224,810,545.0
3921,4002,1948,421,833,653,1569,1649,920,224,810,1614.0
3938,3399,1234,3152,1736,3113,861,3156,846,920,224,810.0
3953,6705,515,1222,496,861,489,861,920,224,3097,1132.0
3959,1846,194,2060,1936,2928,1126,3023,920,224,810,545.0
3966,1166,1234,3152,747,222,653,1569,861,920,1907,2185.0
3987,3391,1234,3152,1082,861,2073,2282,920,224,3097,400.0
4025,4694,2347,166,2984,653,1304,1085,920,224,810,1302.0
4033,2166,1234,3152,2017,1657,846,1687,757,920,224,810.0
4038,792,2605,2770,333,653,2580,3045,2814,119,1644,2131.0
4039,831,1521,1535,1936,846,3103,846,920,224,810,394.0
4047,2093,1948,421,2984,846,654,846,920,224,3097,1889.0
4056,3259,1554,2918,1301,861,2484,3023,920,224,3097,1997.0
4059,7011,1234,3152,3022,656,861,231,861,920,224,810.0
4068,5292,1948,421,1464,861,213,3045,2814,119,1644,304.0
4079,2826,2248,3152,499,2024,2323,1427,1047,920,1144,1906.0
4098,2837,515,1222,3128,1817,846,252,2063,920,224,810.0
4100,2155,515,221,1040,653,2891,48,920,224,2867,1147.0
4103,2354,2069,619,2017,861,2845,653,920,224,3097,569.0
4115,1051,1234,3152,490,846,1881,2282,920,1907,2185,2793.0
4122,3706,308,3152,1858,861,425,147,2814,119,1644,667.0
4142,2099,1234,3152,357,127,861,960,861,920,224,3097.0
4151,2665,3048,1535,1936,2323,3069,757,920,224,810,1913.0
4152,2180,308,3152,2984,319,846,1203,1649,920,224,810.0
4155,208,2665,3152,2281,846,121,48,920,224,2867,2153.0
4163,1119,1234,3152,1301,653,3039,2063,920,1907,2185,2538.0
4175,858,2347,1696,1523,948,2928,2003,920,224,810,1656.0
4183,6287,1951,165,586,507,861,1974,3164,920,1144,1761.0
4187,176,1521,1222,2334,861,2484,1085,920,224,810,338.0
4195,1820,1234,3152,677,2405,2323,1649,920,224,810,1452.0
4201,5515,2347,2918,1215,861,1564,861,920,224,810,553.0
4205,57,2858,1191,1301,861,1190,757,920,224,810,2479.0
4210,1980,2069,3152,1936,861,2611,2003,2814,119,1644,431.0
4221,859,89,1417,3059,861,107,1649,920,224,2867,1968.0
4238,4075,2248,1417,499,2053,861,1974,653,920,224,3097.0
4240,2215,308,3152,3059,2928,2012,2282,920,224,810,394.0
4248,4713,1234,3152,74,2258,861,184,846,920,1907,2185.0
4252,4969,515,294,2255,798,653,1569,861,920,224,2798.0
4254,4894,2554,294,1301,653,811,2063,920,1907,2185,1043.0
4260,553,2554,3152,2500,2323,1963,3023,920,1907,2185,2538.0
4275,4223,1951,3152,2979,846,2127,2282,920,224,810,1614.0
4281,6872,1234,3152,1301,2928,473,3164,920,224,810,2964.0
4294,2398,1449,2918,496,861,187,3164,920,224,3097,615.0
4297,4173,2248,2060,2281,653,248,3023,920,224,810,602.0
4310,3960,515,3152,1541,2323,2426,861,920,1907,2185,3066.0
4317,3756,1948,3152,2556,861,2845,1174,2814,119,1644,1656.0
4332,5234,1521,1191,3059,653,2224,1047,920,224,810,1289.0
4356,7014,1550,1417,2481,2373,653,2313,3164,920,1907,2185.0
4357,972,2846,476,333,846,3103,1085,920,224,810,394.0
4370,2272,308,3152,2300,1780,861,1974,846,920,1144,1761.0
4377,3320,1951,3152,1909,861,425,1777,920,224,810,2117.0
4406,6074,2248,2060,861,2476,2063,920,224,810,1686,326.0
4407,1010,1951,421,3059,2928,497,846,920,224,810,2473.0
4410,408,308,3152,2984,653,2668,757,920,224,3097,400.0
4420,219,308,3152,1294,846,3121,3164,920,224,810,545.0
4433,4884,1948,1565,967,846,1687,48,920,224,810,708.0
4438,4259,2846,2446,2941,1348,653,1634,846,920,224,3097.0
4445,122,2554,619,2979,861,1974,757,920,224,3097,400.0
4449,2381,1550,2060,452,861,425,1281,2814,119,1644,1930.0
4455,4293,2665,619,1513,846,759,48,920,224,810,2204.0
4463,1089,1234,3152,28,861,425,861,920,224,810,2473.0
4471,5458,308,3152,1053,339,653,2224,1777,920,224,3097.0
4476,5441,194,166,2440,507,2928,2600,861,920,224,3097.0
4484,6990,308,3152,1638,861,2484,1777,920,224,810,3142.0
4488,270,308,3152,1622,2394,861,1974,2928,920,1144,1761.0
4491,4715,308,3152,937,861,2013,48,920,224,810,2645.0
4492,4855,1051,294,2,2587,653,524,1085,920,224,3097.0
4503,5404,1521,421,1294,3169,653,1499,653,920,224,810.0
4516,5674,438,619,3059,861,2845,3023,920,224,810,2187.0
4521,5485,1449,619,2334,772,653,1403,1085,920,224,810.0
4526,4482,1550,3152,2334,846,1687,2330,2814,119,451,2912.0
4528,3892,1951,2770,653,1093,2323,920,224,810,138,840.0
4539,4267,1640,3152,490,48,693,510,2814,119,1644,785.0
4578,229,308,3152,1016,861,2493,846,920,224,3097,2510.0
4595,5128,1234,3152,981,861,1320,1777,920,224,3097,1656.0
4600,128,3040,2060,3041,1086,861,152,2063,920,224,810.0
4614,3203,1051,294,1334,861,2484,861,920,224,810,3030.0
4616,6740,1948,1565,967,2405,653,2668,846,920,224,810.0
4636,2314,1951,3152,967,674,653,1539,691,920,224,810.0
4638,2732,2605,1191,2263,846,1582,3062,2814,119,1644,2131.0
4657,6823,308,3152,3047,1194,861,231,1777,920,1907,1612.0
4661,2451,1234,3152,2334,265,653,2956,1085,920,224,810.0
4666,6925,1121,2918,1936,48,1966,1314,2814,119,1644,1370.0
4672,614,308,3152,833,861,757,920,224,810,1919,1764.0
4673,2480,2554,2060,357,861,44,2063,920,1907,2185,1043.0
4685,325,1521,421,629,2024,846,673,846,920,224,3097.0
4693,3536,1948,3152,1466,507,2928,2518,2928,920,224,2798.0
4708,4393,1234,3152,583,2928,473,846,920,224,810,602.0
4724,3858,2554,2060,3047,1947,989,2928,1679,2829,356,920.0
4731,1385,1521,1079,917,2094,2928,2351,2928,920,224,3097.0
4745,2931,1234,3152,2281,653,2668,846,920,224,810,708.0
4746,1321,515,294,496,653,2668,1649,920,224,810,553.0
4752,2148,1554,3152,1081,861,468,757,920,224,3097,1132.0
4773,6150,308,2334,98,846,3103,653,920,224,810,1302.0
4799,4191,1521,1191,333,846,2410,2330,2814,119,1644,2721.0
4802,6178,308,3152,1081,2714,2928,473,861,920,224,810.0
4816,3042,515,1943,2556,2105,861,621,2282,920,224,810.0
4819,2340,2554,294,603,861,2484,2003,920,224,810,708.0
4834,3269,1521,2142,3059,861,425,2282,920,224,810,1845.0
4875,352,2347,433,2952,2928,48,920,224,810,1614,2549.0
4892,4076,515,2142,1909,861,2089,1281,2814,119,1644,1850.0
4893,6785,1948,421,2481,653,1639,861,920,224,3097,400.0
4907,3581,2598,433,2183,653,2243,846,920,224,810,3142.0
4931,320,308,3152,2984,674,653,600,861,920,224,810.0
4934,4274,1121,1191,3059,2928,1785,1777,2814,119,1644,2244.0
4942,2861,1521,1535,2,1324,861,2484,653,920,224,810.0
4954,5354,1234,3152,1936,653,1539,691,2814,119,1644,1850.0
4959,2214,2347,378,1301,1911,846,48,920,224,810,1302.0
4980,502,1948,3152,967,846,1203,3045,2814,119,451,2041.0
4986,1793,3048,2060,2212,48,102,2330,2814,119,451,1119.0
5000,5879,1948,1565,2984,653,2243,3164,920,224,3097,2333.0
5005,5841,308,3152,1301,2928,1659,3164,920,1907,2185,1043.0
5012,6808,1948,421,1909,861,107,1174,2814,119,1644,304.0
5019,466,1948,1565,2281,861,2611,2330,2814,119,451,2988.0
5026,2928,2554,1222,1909,653,2956,3045,2814,119,1644,547.0
5063,3624,1948,421,1294,861,1842,3164,920,224,810,2807.0
5074,4196,1234,3152,1858,861,107,2330,2814,119,1644,1850.0
5095,4390,1234,3152,1464,846,1881,1174,2814,119,1644,547.0
5105,3784,1948,3152,1936,861,2089,2919,920,224,810,545.0
5109,2485,1521,1079,1301,653,600,2063,920,224,810,1439.0
5114,2781,308,3152,333,846,2410,1747,2814,119,1644,326.0
5123,6118,1234,3152,3059,653,2243,757,920,224,810,972.0
5140,4625,2598,3152,2984,861,2484,2323,920,224,810,3142.0
5146,6092,1554,3152,2481,653,2243,48,920,224,3097,400.0
5156,1527,1234,3152,2281,861,152,3045,2814,119,1644,406.0
5162,6582,1550,3152,357,1899,861,2484,2323,920,224,3097.0
5172,6404,1234,3152,3059,846,2787,2282,920,224,810,2827.0
5182,1883,1951,2770,2263,861,425,992,2814,119,1644,667.0
5194,6020,515,3152,846,759,1085,920,224,810,2964,588.0
5200,4614,839,3152,2928,951,3045,2814,119,1644,2870,2549.0
5213,6026,515,294,1936,2928,1126,2063,920,224,810,1130.0
5221,3302,308,2334,1632,1047,3127,1649,920,224,810,602.0
5222,1715,2554,2465,967,861,152,1174,2814,119,1644,2906.0
5237,5085,515,1222,677,861,1955,1085,920,1907,2185,298.0
5253,2815,308,3152,2984,861,2013,757,920,224,810,2101.0
5313,195,1521,1535,496,861,1974,653,920,224,3097,706.0
5341,5549,515,294,956,536,846,673,1085,920,224,810.0
5345,861,308,3152,3047,227,989,2928,1679,1047,1189,920.0
5357,2466,1234,3152,1858,861,425,758,2814,119,1644,2131.0
5358,441,1234,3152,1936,40,653,2243,757,920,224,810.0
5360,1924,1948,421,2263,861,1751,3116,2814,119,2996,1195.0
5364,1810,2347,1191,2192,861,44,653,920,1907,1612,2327.0
5372,2077,1550,509,357,2279,861,48,920,1907,2185,1043.0
5389,6270,1234,3152,1294,653,1304,1777,920,1907,2185,2538.0
5400,1066,2605,165,481,861,213,1085,920,224,810,2057.0
5417,6054,1948,3152,1053,2323,1963,846,920,1907,2185,1043.0
5449,3458,2605,2464,2927,861,489,2063,920,224,2867,558.0
5469,4040,2598,2770,273,1931,2928,1605,2928,920,224,2621.0
5480,5402,308,3152,1936,846,2999,2919,2814,119,1644,2681.0
5485,4004,1550,1191,2140,846,2787,1281,2814,119,1644,1370.0
5486,4886,308,3152,2029,2928,2485,3164,920,224,810,2204.0
5487,6192,2248,294,2334,653,2243,1047,920,224,810,1302.0
5489,5341,1121,166,937,2928,2145,861,920,224,3097,1291.0
5493,5040,2347,378,490,385,861,1974,1174,2814,119,1644.0
5496,3633,1234,3152,2334,861,489,757,920,224,810,338.0
5498,2788,3040,509,496,1331,2928,473,349,920,224,2867.0
5519,6434,2605,1191,2984,1999,846,2063,920,224,3097,2916.0
5522,180,1234,3152,496,2928,1929,3164,920,224,810,214.0
5526,3520,2554,3152,452,653,1403,3164,920,224,810,602.0
5546,4240,515,1222,2334,653,2243,1649,920,224,810,2827.0
5554,5590,308,3152,490,1401,1047,1263,861,920,1907,2185.0
5560,5363,454,1535,1381,1467,942,507,893,2675,861,1114.0
5573,2806,1951,2770,2818,861,213,1085,920,224,3097,1132.0
5581,663,194,2770,3047,2046,653,784,2063,920,224,3097.0
5586,2700,515,1943,833,73,846,673,2003,2814,119,451.0
5592,700,2554,476,2334,653,811,3164,920,224,810,553.0
5609,6246,2605,3152,496,861,2297,2063,920,224,3097,615.0
5615,4738,1234,3152,1301,861,425,1649,920,224,810,2964.0
5624,4913,2554,216,1909,846,2410,3045,2814,119,1644,2131.0
5662,877,2347,2918,333,2928,2012,1085,920,224,810,1063.0
5665,1945,2605,3152,357,1047,1375,48,920,1907,2185,384.0
5678,1496,2846,619,629,2141,2928,861,920,224,3097,1728.0
5711,745,1948,3152,1294,861,757,920,224,810,1369,1656.0
5744,5453,2598,3152,1538,1187,861,152,2063,920,224,3097.0
5753,1391,1948,3152,2928,1677,3164,920,1907,2185,1043,2990.0
5764,3687,89,1618,2192,846,1881,757,920,1907,2185,1043.0
5779,4805,1234,3152,1622,2672,1354,2928,582,48,920,1907.0
5801,3209,2846,1713,2140,861,2089,510,2814,119,1644,118.0
5819,6059,1951,3152,1909,861,152,2919,920,224,810,2101.0
5831,1382,308,3152,3059,846,2410,1281,2814,119,1644,66.0
5843,7081,2846,619,1541,653,1304,48,920,224,810,602.0
5846,3007,2347,619,1510,2323,2298,757,2814,119,1644,2549.0
5858,1521,2554,378,2,947,861,1974,2323,920,224,3097.0
5871,6944,2665,1417,2334,861,2484,2063,920,224,3097,706.0
5876,1804,1948,3152,2334,861,1594,2282,920,224,810,201.0
5885,6776,2554,1222,333,653,2331,691,2814,119,1644,2131.0
5907,5338,1951,2770,452,653,2331,1085,920,224,810,1369.0
5917,4948,2347,1191,677,861,1842,1174,2814,2922,1384,1105.0
5921,5417,1234,3152,2556,861,1621,3164,920,224,810,553.0
5922,198,1948,3152,981,861,489,1649,920,224,2867,2549.0
5930,5802,1951,2770,1909,861,1594,1281,2814,119,1644,1421.0
5935,6838,1550,684,1464,2928,131,1777,920,224,810,2193.0
5938,1481,1948,3152,1909,861,2089,2003,920,224,810,2187.0
5941,5842,1234,3152,2263,48,266,2814,119,1644,2131,2549.0
5962,7046,2858,1535,496,846,673,2330,2814,119,1644,406.0
5965,1059,308,3152,333,846,2787,1281,2814,119,1644,1391.0
5971,4404,308,3152,1936,2315,861,489,1649,920,224,2867.0
5976,2629,1234,3152,2663,1931,861,1974,653,920,224,3097.0
5985,1717,2248,509,1936,861,489,2003,920,224,810,394.0
5991,4711,839,1417,2281,2928,131,757,920,224,810,1913.0
6007,2168,3048,509,2334,861,2611,1174,920,224,810,1063.0
6029,1367,1948,3152,273,626,2928,2738,3164,920,224,3097.0
6032,5730,515,3152,2334,1790,2928,1126,1174,2814,119,451.0
6045,963,1951,421,1464,861,1955,1085,2814,2922,1384,1013.0
6065,5511,1521,421,1318,2928,1929,2282,920,1907,2185,1496.0
6078,2346,1521,3152,2583,2909,2323,355,2928,920,1907,2185.0
6080,5353,515,221,833,1177,2928,188,3164,920,1907,2185.0
6086,4949,1521,1191,2025,846,2744,1314,2814,119,1644,667.0
6102,6459,1948,1565,2334,1217,846,1122,1649,920,224,810.0
6103,1355,308,3152,496,846,2410,3164,920,224,810,553.0
6106,7045,1234,3152,1513,1515,653,2668,3164,920,224,810.0
6146,4445,1234,3152,1464,861,1955,2282,920,224,810,545.0
6172,4681,3068,509,2281,48,699,3023,920,224,3097,1132.0
6177,3976,308,3152,2745,861,425,3164,920,224,810,1161.0
6197,150,515,3152,1464,846,1122,2330,2814,119,1644,1797.0
6206,2543,1234,3152,937,3162,861,152,3164,920,1907,2185.0
6222,227,1521,1222,2121,56,861,1114,653,920,224,3097.0
6226,5315,1133,1535,1909,3167,861,425,2282,920,224,810.0
6235,4549,308,3152,2354,688,2323,2038,846,920,1907,2185.0
6240,3989,3068,433,2121,2716,2928,3164,920,224,3097,329.0
6244,5931,89,378,1936,2928,2012,1777,2814,119,1644,2414.0
6269,856,1951,421,677,2509,2928,1661,48,920,224,810.0
6271,544,1521,3152,1351,2394,846,3003,653,920,1144,1761.0
6279,6778,1948,421,1523,846,759,3164,920,224,810,588.0
6280,4152,2846,421,1301,861,44,48,920,1907,2185,1043.0
6291,1039,308,3152,1301,1657,1047,2939,3164,920,224,810.0
6295,6172,1951,3152,2583,656,861,960,861,920,224,2621.0
6304,7030,1234,3152,981,653,2243,1649,920,224,810,545.0
6305,2956,1951,421,967,2053,861,2164,1649,920,224,810.0
6320,3713,2347,619,496,2928,2055,1085,920,224,3097,1491.0
6366,3722,1948,421,833,861,152,2282,920,224,810,553.0
6394,104,1521,3152,1095,450,653,210,3164,920,1144,1761.0
6395,321,1234,3152,1301,1232,846,3103,48,920,224,810.0
6399,8,2605,1535,3047,103,1725,846,487,546,48,3110.0
6401,4930,1199,3152,677,861,2845,2003,920,224,810,553.0
6403,4640,515,294,833,846,2898,2282,920,224,3097,615.0
6405,5920,1234,3152,496,1657,2928,461,1047,920,224,2867.0
6411,2061,1234,3152,2556,861,107,2330,2814,119,1644,66.0
6415,2758,1234,3152,2481,861,184,2063,920,1907,2185,1043.0
6423,2447,1234,3152,2263,48,992,2814,119,1644,667,1993.0
6427,3864,515,1943,3059,2928,2012,2282,920,224,810,2204.0
6429,4977,2554,3152,1053,2928,1671,846,920,224,2867,1656.0
6449,2352,1234,3152,333,653,1539,1281,2814,119,1644,3061.0
6475,2533,1948,3152,2984,653,2243,2282,920,224,810,553.0
6482,6058,1550,1417,583,2928,2803,757,920,1907,2185,1043.0
6492,6623,1234,3152,1294,2323,2070,2282,920,1907,2185,3066.0
6509,182,308,3152,3059,653,2956,2282,2814,119,1644,2015.0
6520,3219,1951,2770,1274,861,213,1174,920,224,810,840.0
6527,1688,1234,3152,1301,653,2243,2063,920,224,2867,2153.0
6552,4809,1554,1191,833,1047,1085,920,224,810,553,2549.0
6553,809,1948,1565,861,152,846,920,224,810,3142,2732.0
6558,5132,308,3152,2334,653,1944,2282,920,1907,2185,2538.0
6609,6564,308,3152,1294,3084,2092,3164,920,224,2867,1656.0
6635,1229,1726,3152,1909,846,2410,3045,2814,119,1644,547.0
6640,2987,1051,2446,937,2928,473,2063,920,224,3097,1291.0
6653,1083,1234,3152,1936,846,121,1174,920,224,810,394.0
6658,2784,2347,619,677,987,653,2776,1649,920,224,810.0
6659,7069,1449,165,1909,861,213,691,2814,119,1644,2549.0
6660,3165,1948,421,1053,861,187,3164,920,224,3097,615.0
6664,721,1948,3152,1541,846,252,2063,920,224,3097,1889.0
6666,4444,1234,3152,1909,846,2410,1281,2814,119,1644,698.0
6669,7083,2858,2864,2029,2323,846,920,224,810,553,588.0
6676,1265,2347,433,2984,653,1416,846,920,224,810,1913.0
6694,3761,1234,3152,2481,861,2484,48,920,224,3097,329.0
6698,4757,308,3152,90,653,1499,653,920,224,810,3142.0
6705,4892,1550,911,2090,846,1203,3023,920,224,3097,1722.0
6708,1327,1951,3152,2,653,2668,2928,920,224,3097,706.0
6709,5445,1234,3152,1301,653,1499,1085,920,224,810,2250.0
6716,1791,308,3152,2192,1629,653,210,653,920,1907,2185.0
6737,5577,1726,1079,333,653,2331,48,920,224,2867,2936.0
6752,1169,515,294,1909,846,2410,691,2814,119,1644,304.0
6755,1055,1234,3152,1465,846,654,3023,920,224,3097,615.0
6759,5376,1550,1191,2121,2108,2323,2756,2323,920,224,3097.0
6766,7057,1554,619,2984,2928,2198,3164,920,224,810,553.0
6787,4856,308,3152,2979,2286,2928,2351,846,920,224,3097.0
6804,5686,1951,2770,3059,861,2297,757,920,224,810,3142.0
6822,2107,1234,3152,1936,1412,2928,473,2282,920,1907,2185.0
6831,5941,308,3152,2640,653,2668,3164,920,224,393,1664.0
6841,2179,1951,3152,1909,653,1093,1174,2814,119,1644,1370.0
6848,4935,1234,3152,3059,861,2297,2919,2814,119,1644,1850.0
6864,1462,1449,1191,2212,861,2845,2063,920,224,810,1620.0
6870,2019,1948,1565,2927,861,468,1649,920,224,3097,1772.0
6873,4719,3068,1191,499,2094,861,1974,846,920,1144,1761.0
6881,4996,515,1222,2354,450,861,1974,653,920,1144,1761.0
6927,5569,3048,1079,452,653,2243,2003,920,224,810,602.0
6936,2506,1234,3152,1301,861,489,3164,920,224,2867,2549.0
6963,4087,1951,3152,1318,2323,1734,691,2814,119,1644,1850.0
6979,1890,308,3152,1053,78,653,2033,846,920,224,810.0
6982,4909,454,619,677,653,811,48,920,1907,2185,298.0
6984,2779,1951,165,1909,861,1594,1281,2814,119,1644,1656.0
6998,6221,2605,619,967,846,759,2282,920,224,810,708.0
7006,2997,308,333,861,107,3062,2814,119,1644,667,1656.0
7011,3912,308,3152,2984,861,468,1085,920,224,2867,819.0
7029,1513,308,3152,3022,861,2073,653,920,224,3097,329.0
7042,5138,2846,619,333,653,2331,1281,2814,119,1644,1850.0
7043,3070,308,3152,357,2928,1659,2063,920,224,810,1614.0
7059,6606,308,937,653,2243,1649,920,224,810,602,1993.0
7062,2699,1948,3152,2702,861,1974,2928,920,1144,1761,760.0
7065,401,1051,294,3091,861,2484,1777,2814,119,451,1718.0
7091,4702,1234,3152,452,861,489,757,920,224,810,269.0
7094,469,3068,3152,357,2928,1616,1649,920,224,3097,400.0
