,feature_feature_0,feature_feature_1,feature_feature_2,feature_feature_3,feature_feature_4,feature_feature_5,feature_feature_6,feature_feature_7,feature_feature_8,feature_feature_9
0,308,3152,3096,293,653,359,1085,920,224,810
1,515,2142,642,952,1725,861,800,846,1783,920
2,1234,3152,1215,861,2484,2928,920,224,3097,400
3,308,3152,1318,846,2410,266,2814,119,1644,1850
4,308,2255,1396,861,1974,861,920,224,2798,606
5,308,3152,591,2559,507,861,1114,1315,3164,1977
6,2846,2446,2121,1361,2928,2518,653,920,224,3097
7,2846,3152,591,2394,861,1114,48,920,1144,1761
8,1948,28,2928,1126,2063,920,224,810,1391,2936
9,1948,3152,2927,2509,2928,461,2323,920,224,810
10,1948,421,3059,861,489,1174,2814,119,1644,698
11,1234,3152,2263,48,992,2814,119,1644,667,1993
12,1948,3152,2263,846,2787,3116,2814,119,1644,2549
13,2554,1417,1909,846,2410,758,2814,119,1644,667
14,1521,1191,2334,846,3103,3045,920,224,810,1369
15,1948,1565,2104,2716,861,1974,846,920,224,810
16,1948,3152,28,1374,861,489,1649,920,224,810
17,1948,421,3059,772,653,1740,2063,920,224,2867
18,1521,1191,2025,846,2744,1314,2814,119,1644,667
19,438,1417,1464,861,213,757,920,224,810,545
20,2554,1222,3091,2700,2928,1724,2063,920,224,810
21,1234,3152,1936,653,1539,691,2814,119,1644,1850
22,2347,3152,1294,2674,653,2243,3023,920,224,3097
23,1951,3152,51,2252,656,653,2853,3084,920,1144
24,3068,509,2281,48,699,3023,920,224,3097,1132
25,438,619,1622,2672,2024,653,784,861,920,1144
26,89,294,333,861,1594,3045,2814,119,1644,547
27,1121,509,2498,861,213,2063,920,224,810,734
28,89,619,2941,3111,653,210,2928,920,224,3097
29,1948,3152,2818,861,2297,3164,920,224,810,3142
30,308,3152,1798,2781,861,489,846,920,224,3097
31,1051,619,1909,2928,1785,2330,2814,119,1644,3115
32,1449,2060,861,1621,1747,2814,119,1644,3115,2962
33,1948,3152,2,1938,653,402,2919,2814,119,451
34,308,1040,2992,846,759,2003,920,224,810,1919
35,308,490,2315,861,489,3116,920,224,3097,2767
36,308,3152,1909,48,1747,2814,119,1644,1656,2936
37,1051,166,2702,491,861,2297,1085,920,224,3097
38,2598,2446,1909,653,2580,2330,2814,119,1644,2244
39,2554,2060,1707,388,2928,1209,846,920,224,3097
40,1234,3152,653,1304,757,920,224,810,545,608
41,1051,619,1301,1187,653,2313,653,920,224,810
42,308,3152,1523,861,2484,846,920,224,810,2964
43,1234,3152,2300,536,2928,48,920,224,3097,329
44,1234,3152,2212,2928,1659,861,920,224,3097,706
45,1234,3152,3155,2272,2094,653,856,349,920,1144
46,1948,3152,1053,987,653,1280,861,920,224,3097
47,1948,421,2263,861,107,1281,2814,119,1644,2244
48,1234,3152,2263,861,1594,1649,920,224,810,1369
49,515,3152,2334,1177,846,1687,1085,920,224,3097
50,1948,3152,2663,2928,1590,2063,920,224,3097,400
51,1948,421,1464,861,213,3045,2814,119,1644,304
52,438,619,3059,861,2845,3023,920,224,810,2187
53,1234,3152,861,107,1777,920,224,810,602,1607
54,308,2281,861,152,2063,920,224,2867,1656,139
55,1550,509,2334,861,425,3164,920,224,810,545
56,1234,3152,2025,846,1582,1747,2814,119,2996,588
57,2846,2464,1883,1120,2928,2600,846,920,224,3097
58,2846,2060,1318,861,2611,3045,2814,119,1644,2208
59,308,3152,591,2559,507,2928,1605,1962,653,863
60,308,3152,496,846,1203,48,920,224,393,2361
61,1234,3152,1301,846,1881,1085,920,224,3097,1001
62,3048,3152,1541,861,152,3045,2814,2922,1384,1074
63,1521,1191,466,846,2987,2063,920,224,3097,1656
64,1234,3152,2263,48,266,2814,119,1644,2131,2549
65,308,3152,3059,2928,2012,2282,920,224,810,394
66,1234,3152,1798,1407,861,2297,861,920,224,3097
67,89,378,1936,2928,2012,1777,2814,119,1644,2414
68,515,1222,2334,1014,2323,2291,2282,920,224,810
69,2605,1535,603,2848,2928,497,757,920,224,810
70,2858,619,2121,2024,653,287,1649,920,224,3097
71,1234,3152,357,846,1389,846,920,1907,2185,2793
72,1948,3152,413,135,861,489,1649,920,224,810
73,308,3152,2984,653,2668,757,920,224,3097,400
74,2554,3152,1053,2928,1671,846,920,224,2867,1656
75,1521,1191,1081,861,489,757,920,224,393,2361
76,2846,619,2256,2504,507,2323,2455,1047,1441,920
77,515,294,2196,507,861,2601,2928,920,224,2798
78,1234,3152,2334,2425,861,425,1085,920,224,3097
79,1951,2770,2984,861,2297,48,920,224,810,602
80,1948,3152,1909,861,2089,2003,920,224,810,2187
81,670,619,2025,846,1582,530,2814,119,1644,667
82,308,3152,1858,861,425,147,2814,119,1644,667
83,2605,433,1301,861,468,2919,2814,119,1644,431
84,1234,3152,2281,861,1437,2063,920,224,810,551
85,308,1883,1832,2323,1501,48,920,1144,1761,760
86,1234,3152,1778,702,861,2164,1649,920,224,810
87,308,3152,1936,861,425,691,2814,119,1644,406
88,1051,2770,499,1251,653,145,3164,920,224,3097
89,1234,3152,2334,300,846,3103,3023,920,224,810
90,515,3152,967,653,2243,2063,920,224,810,545
91,2846,3152,3022,861,2484,2063,920,224,3097,2151
92,2554,294,2263,846,1924,510,2814,119,1644,667
93,1234,3152,1858,861,2089,992,2814,119,1644,1198
94,1951,2770,3047,103,507,653,2853,637,48,195
95,2605,2770,171,653,2668,1085,920,224,810,2827
96,2554,2060,1464,653,1403,3023,920,224,810,2827
97,1121,2864,1828,861,213,48,920,224,810,602
98,670,3152,1936,2928,1600,2282,920,224,810,2964
99,308,1301,2323,2658,2063,920,224,810,1614,1764
100,1521,1222,51,2252,2221,653,287,846,920,1907
101,1951,3152,2334,846,1122,757,920,224,3097,615
102,1234,3152,2281,846,2410,510,2814,119,1644,326
103,89,294,1301,2928,473,1085,920,224,810,2964
104,1521,421,1828,1286,653,2243,48,920,224,810
105,1234,3152,1936,2769,653,248,1649,920,224,810
106,515,294,3091,3154,861,213,2063,920,224,810
107,1449,165,1909,861,213,691,2814,119,1644,2549
108,2347,2918,333,2928,2012,1085,920,224,810,1063
109,1948,421,1081,2053,653,210,2323,920,224,393
110,1133,433,333,861,1594,757,920,224,810,1369
111,1951,2770,1909,2928,473,3023,920,224,810,2827
112,2554,294,1301,653,811,2063,920,1907,2185,1043
113,839,619,2937,861,155,653,920,1907,2185,1424
114,308,3152,1909,653,1499,3164,920,224,810,1686
115,308,3152,1936,2928,473,1085,920,224,810,545
116,1948,3152,1936,3154,653,1076,1649,920,224,810
117,308,3152,591,2628,1354,2323,595,2855,3164,2158
118,308,3152,1301,861,2611,1649,920,1907,2185,358
119,2605,2770,74,861,489,2063,920,1907,2185,1043
120,308,3152,3059,861,2845,1649,920,224,810,734
121,89,433,1294,1232,653,2243,846,920,1907,2185
122,1948,3152,3059,2928,1785,2282,920,224,810,1606
123,1234,3152,1909,2432,2323,1963,2063,920,224,810
124,1521,1222,452,2425,846,2176,2282,920,224,810
125,1951,2770,452,653,2331,1085,920,224,810,1369
126,3048,509,2334,861,2611,1174,920,224,810,1063
127,1234,3152,333,653,2243,2003,920,224,810,394
128,1951,3152,2927,1177,861,213,48,920,224,3097
129,1234,3152,452,653,1499,1649,920,224,810,545
130,308,3152,1301,861,2484,1649,920,224,810,2201
131,3048,619,2334,1553,861,2611,757,920,224,810
132,308,3152,452,653,2243,2282,920,224,810,545
133,1550,3152,1909,2344,653,2243,757,920,224,810
134,1951,2770,2281,772,653,255,757,920,224,810
135,1521,2005,1909,2928,1126,3164,920,224,810,545
136,1948,3152,516,653,210,3164,920,1907,2185,1043
137,515,294,2281,2251,653,600,1649,920,224,810
138,1234,3152,2334,2928,188,653,920,224,810,2964
139,1234,3152,1053,1235,861,213,653,920,224,810
140,308,3152,3059,653,1403,757,920,224,810,545
141,1550,3152,2556,861,68,2282,920,224,810,545
142,1521,421,1909,861,213,2919,2814,119,1644,1370
143,3040,294,333,861,1751,2330,2814,119,1644,66
144,2846,476,380,1463,2928,2738,1085,920,1907,2185
145,2347,911,516,653,1569,1085,920,1907,2185,1043
146,438,1417,1936,2323,1963,653,920,224,810,394
147,1948,3152,2281,846,2589,3023,920,224,810,551
148,1051,433,956,798,653,2668,2323,920,224,810
149,1948,421,171,186,653,1569,846,920,1907,2185
150,308,2281,846,2999,2003,920,224,810,588,2734
151,1550,3152,1464,861,425,1777,920,224,810,2101
152,1951,3152,2984,861,152,1777,920,224,810,2534
153,1234,3152,3091,653,2313,1085,920,224,810,708
154,2347,1417,2556,653,2668,2003,920,224,810,2827
155,308,3152,937,861,2484,846,920,224,3097,400
156,194,433,967,674,653,210,3164,920,224,2867
157,308,3152,51,2881,507,2928,1679,935,861,2511
158,1951,3152,1274,2258,861,152,1085,920,224,810
159,1951,2770,1936,846,1687,1174,2814,119,1644,304
160,1948,3152,2121,1202,653,1932,1649,920,224,3097
161,1948,3152,1301,846,3103,2282,920,224,810,2964
162,1234,3152,1186,1394,846,759,1174,2814,119,1644
163,3068,619,1464,846,759,2282,920,224,810,972
164,1951,3152,861,2845,1085,920,224,810,545,2631
165,1951,421,3059,2928,497,846,920,224,810,2473
166,1521,1191,333,846,2410,2330,2814,119,1644,2721
167,1951,3152,1547,618,861,1974,861,920,224,3097
168,308,3059,846,1203,861,920,224,2867,819,1656
169,1234,3152,2334,861,2297,846,920,224,810,3038
170,2554,1417,864,2286,861,1974,846,920,224,810
171,2605,1191,2984,1999,846,2063,920,224,3097,2916
172,1550,911,1294,653,2668,3164,920,224,810,394
173,3068,911,357,861,1974,1649,920,224,810,1161
174,1449,216,357,846,2003,920,224,3097,400,139
175,1948,3152,967,197,2928,2485,2928,920,224,810
176,515,3152,2263,861,107,992,2814,119,1644,1656
177,1948,3152,333,653,1403,2919,2814,119,1644,304
178,515,294,1301,653,2668,2282,920,224,810,1161
179,308,3152,981,653,1304,1281,2814,119,1644,2870
180,1550,1191,2963,1047,644,1649,920,224,3097,400
181,308,3152,9,2992,861,2484,3164,920,224,3097
182,1234,3152,1936,653,1539,2003,920,224,810,2964
183,1234,3152,677,653,3039,1649,920,224,810,545
184,1234,3152,2334,861,1594,2282,2814,119,1644,2414
185,2554,3152,452,653,1403,3164,920,224,810,602
186,1521,2005,2334,861,425,3062,2814,119,1644,1198
187,308,2937,2323,1776,1649,920,224,810,3142,2549
188,1234,3152,2263,861,2089,1747,2814,119,1644,667
189,1234,3152,581,2053,846,673,1085,920,224,810
190,1234,3152,2281,653,2668,846,920,224,810,708
191,2846,3152,9,846,1203,3164,920,224,3097,400
192,670,619,1707,1202,2928,2738,1047,920,224,2798
193,2347,509,1513,861,152,1174,920,224,810,1620
194,1948,1909,861,213,691,2814,119,1644,1108,2645
195,1234,3152,357,2928,1616,48,920,224,810,1439
196,1234,3152,496,846,1203,3164,920,224,810,2604
197,194,2060,1936,2928,1126,3023,920,224,810,545
198,1121,433,3022,653,126,2063,920,224,3097,329
199,2554,1417,376,846,759,3164,920,1907,2185,2793
200,438,221,333,861,425,1281,2814,119,1644,1387
201,1234,3152,1538,653,2668,48,920,224,3097,400
202,1951,2770,1081,861,2484,48,920,224,3097,63
203,1948,3152,1508,507,2323,2205,2928,920,224,2798
204,308,3152,1381,1467,1702,507,3146,741,653,2322
205,1234,3152,1226,656,653,126,861,920,224,3097
206,1234,3152,2482,507,1588,653,779,48,2372,920
207,1948,421,2556,861,213,2063,920,224,810,1607
208,308,3152,1053,861,621,2063,920,224,810,553
209,2858,1417,846,1924,2814,119,1644,667,2549,2524
210,1234,3152,2556,861,107,2330,2814,119,1644,66
211,1948,3152,629,1127,1047,2690,846,920,224,3097
212,3040,3152,2872,2024,653,210,3164,920,224,3097
213,2605,1191,2263,846,1582,3062,2814,119,1644,2131
214,2598,911,1820,507,653,210,861,920,224,3097
215,1951,2770,1301,846,1881,2063,920,224,3097,400
216,1948,3152,2963,270,861,231,846,920,224,2867
217,438,1535,1909,2437,861,107,1281,2814,119,1644
218,1234,3152,2300,961,2928,2518,2323,920,1144,1761
219,308,1936,653,2668,1174,2814,119,1644,2414,2385
220,1948,3152,1952,1360,861,2073,3164,920,224,810
221,2554,294,2121,2108,1047,456,2928,920,224,810
222,2605,2446,1053,861,152,861,920,224,810,214
223,1550,1417,583,2928,2803,757,920,1907,2185,1043
224,2858,166,1541,2462,2928,1126,846,920,1907,2185
225,308,1274,3084,2419,846,920,224,810,464,1607
226,308,3152,2334,653,1944,2282,920,1907,2185,2538
227,2248,2770,51,2252,2358,2928,582,861,920,224
228,2665,433,1464,2323,2289,1777,2814,119,1644,2681
229,1449,619,1464,2323,2766,1649,920,224,2867,635
230,1133,509,2281,2323,3069,846,920,224,810,1007
231,1234,3152,3041,3084,3164,920,224,810,1620,588
232,1951,421,2212,861,425,2282,920,224,810,551
233,1951,3152,2984,1047,3164,920,224,2867,2128,635
234,1234,3152,833,861,425,1649,920,224,3097,1997
235,1951,3152,1541,2323,1963,1777,2814,119,451,1718
236,1948,3152,2334,653,1403,1085,920,224,810,2201
237,2554,619,1186,2323,2070,2063,920,224,810,2204
238,1948,421,2334,2928,2139,846,920,224,2867,140
239,2554,619,516,1141,653,1430,2063,920,1907,2185
240,1234,3152,333,846,2787,3062,2814,119,1644,1850
241,1948,421,3059,653,2668,3023,920,224,2867,1656
242,515,1222,677,653,2243,1649,920,224,810,1302
243,438,1417,2984,2928,1659,48,920,224,810,1007
244,1234,3152,1301,1232,846,3103,48,920,224,810
245,89,1191,1510,2323,1848,2282,920,1907,2185,2793
246,308,3152,1294,653,2668,2282,920,224,810,553
247,1234,3152,1513,633,846,3103,1649,920,224,810
248,515,294,1464,653,1499,2282,920,1907,2185,2538
249,308,3152,1053,2404,2928,1659,3164,920,224,810
250,3040,433,1318,861,213,1281,2814,119,1644,785
251,1948,421,2263,861,1751,3116,2814,119,2996,1195
252,2605,2770,333,653,2580,3045,2814,119,1644,2131
253,1234,3152,1707,3113,653,1569,48,920,224,810
254,1948,3152,2687,507,861,960,3084,920,1144,1761
255,1234,3152,2281,633,861,489,861,920,224,810
256,1550,509,2263,846,2787,992,2814,119,1644,667
257,1951,3152,3059,861,152,1777,2814,119,1644,326
258,308,3152,833,653,1649,920,224,810,2604,1548
259,1449,1535,3059,861,489,3164,920,224,2867,1108
260,1948,3152,51,1942,989,2928,1605,1488,2928,920
261,2248,166,2984,1795,861,489,1777,920,224,3097
262,1726,619,1936,861,1842,2282,920,224,810,2964
263,1521,1535,833,861,213,2063,920,224,810,602
264,1234,3152,2984,861,2063,920,224,810,553,1074
265,1234,3152,1858,861,107,2330,2814,119,1644,1850
266,515,3152,2984,2058,2928,131,48,920,224,810
267,308,3152,452,861,213,3023,920,224,810,269
268,2248,2770,1585,653,784,48,920,224,810,1161
269,1726,3152,2256,3141,507,861,960,550,2928,808
270,308,3152,333,653,2243,2928,920,224,810,2473
271,308,3152,1301,861,1621,2003,920,1907,1612,1065
272,2598,619,1936,846,3121,2928,920,224,2867,518
273,1948,3152,273,2925,2928,2731,2323,920,224,810
274,2554,3152,333,861,213,3164,920,224,810,545
275,1948,421,653,54,3164,920,224,810,3142,1895
276,515,3152,1936,1721,653,2243,1649,920,1907,2185
277,1948,421,1464,861,425,1174,2814,119,1644,66
278,1133,1535,1909,3167,861,425,2282,920,224,810
279,2858,1417,677,653,1932,1649,920,224,810,2964
280,1234,3152,1294,861,213,1085,920,1907,2185,3066
281,2846,2060,1936,3084,2835,2323,920,224,810,545
282,1234,3152,2556,861,1621,3164,920,224,810,553
283,1234,3152,2334,861,1955,2003,920,224,810,1369
284,2846,2918,2334,653,255,2282,920,224,810,1063
285,1948,3152,1541,2712,846,1687,2919,2814,119,451
286,515,3152,1464,752,861,425,3023,920,224,810
287,1726,433,2,861,2484,3164,920,224,3097,1291
288,1521,1079,1464,846,1029,2330,2814,119,1644,569
289,3040,1191,937,653,54,861,920,224,810,1620
290,1948,3152,1294,265,2928,2012,2063,920,224,810
291,1948,421,3091,653,1304,1649,920,224,810,1302
292,1234,3152,51,1674,507,2323,1501,48,2413,920
293,2605,3152,490,1187,861,152,3164,920,224,810
294,1951,421,496,846,1687,2063,920,224,3097,400
295,1948,3152,2927,861,152,2063,920,224,810,464
296,839,3152,2963,2024,653,2528,653,920,224,810
297,2347,509,2121,2715,861,2484,2323,920,224,3097
298,1948,1294,861,2845,1649,920,1907,2185,2538,1074
299,1951,3152,452,653,2243,2003,920,224,810,545
300,2248,509,1301,319,2323,2289,3164,920,1907,2185
301,1234,3152,1936,40,653,1539,2282,920,224,810
302,1234,3152,1301,715,2928,1659,3164,920,224,810
303,1234,3152,1294,1047,2076,3164,920,1907,2185,1013
304,308,3152,1936,3162,653,1304,1085,920,224,810
305,2554,619,677,1617,861,1709,757,920,224,810
306,1951,2770,1909,861,1594,1281,2814,119,1644,1421
307,2858,509,956,1394,2323,2063,920,224,3097,400
308,2605,2770,2583,653,181,2063,920,1907,1612,2777
309,1234,3152,677,2323,1768,653,920,1907,2185,298
310,1234,3152,1294,653,1093,1649,920,224,810,2201
311,1234,3152,2556,861,2845,2282,920,224,810,1063
312,1234,3152,1053,237,653,2243,653,920,224,810
313,2248,2060,861,2476,2063,920,224,810,1686,326
314,2605,1222,1053,2928,1616,861,920,1907,2185,1043
315,308,3152,2334,861,1955,3023,920,224,810,545
316,1550,1417,333,1445,861,425,757,920,224,810
317,308,1301,1498,653,2668,48,920,224,810,553
318,1948,421,1828,2928,2012,2282,920,224,810,551
319,1948,1565,937,2928,1659,3164,920,1907,2185,1043
320,515,294,1909,846,2410,691,2814,119,1644,304
321,3048,476,937,653,1932,3164,920,224,810,1031
322,1550,509,1294,861,213,3023,2814,119,451,1656
323,1234,3152,1301,2928,473,757,920,224,3097,1574
324,1948,3152,357,653,1061,3164,920,1907,2185,1043
325,1051,911,2281,2848,846,2176,2063,920,224,810
326,1234,3152,1301,2928,1724,2282,920,224,810,1614
327,1234,3152,1053,861,152,48,920,224,810,602
328,1951,3152,1909,653,1093,1174,2814,119,1644,1370
329,308,2334,1632,1047,3127,1649,920,224,810,602
330,2846,3152,2281,2315,861,152,3023,920,224,810
331,1948,3152,1294,2323,676,846,920,224,810,2964
332,3048,2864,1523,846,759,2003,2814,119,451,1656
333,2846,2918,496,2714,653,600,757,920,224,810
334,1948,3152,1464,861,213,2919,2814,119,1644,304
