,feature_feature_0,feature_feature_1,feature_feature_2,feature_feature_3,feature_feature_4,feature_feature_5,feature_feature_6,feature_feature_7,feature_feature_8,feature_feature_9
335,3040,1618,2,674,861,231,2063,920,224,3097
336,1521,1535,967,618,653,210,861,920,224,810
337,1550,2770,798,2928,2600,1649,920,224,810,2604
338,1521,1191,1318,653,1304,2003,920,224,810,1764
339,1234,3152,1301,2928,473,3164,920,224,810,2964
340,2248,911,1294,861,152,2063,920,224,810,602
341,1121,1191,2556,861,2845,3023,920,224,810,2204
342,454,1417,1909,48,699,1649,920,224,810,1369
343,308,3152,1936,2928,1659,1085,920,1907,2185,1678
344,194,433,1294,846,1203,1777,920,224,810,553
345,1521,1191,496,861,489,757,920,224,3097,2755
346,1948,3152,1707,2781,846,673,1047,920,224,810
347,308,833,861,2484,2282,920,224,810,2604,588
348,515,221,1464,653,1499,757,920,224,810,394
349,1521,1535,833,861,1974,3164,920,224,3097,1001
350,515,221,2984,861,1974,3023,920,224,3097,615
351,1234,3152,2984,861,2484,861,920,224,393,1664
352,89,1618,1858,861,107,1747,2814,119,2996,718
353,515,294,3022,861,1974,3164,920,224,3097,569
354,2554,2060,2334,861,2484,3023,920,224,3097,2100
355,2554,166,1541,861,1974,2063,920,224,3097,400
356,1234,3152,90,861,2484,757,920,224,810,708
357,1951,2770,1778,2315,861,425,653,920,224,810
358,1554,1535,1513,2716,1047,1527,3164,920,224,810
359,1234,3152,2818,846,759,2323,920,224,810,972
360,1951,3152,677,846,1881,2282,2814,119,1644,2091
361,1951,421,1523,653,210,846,920,224,393,2549
362,308,3152,1053,2928,48,920,224,3097,2916,569
363,1948,421,1523,846,759,3164,920,224,810,588
364,515,294,333,653,2331,691,2814,119,1644,201
365,515,294,2066,1463,861,231,1649,920,224,3097
366,308,516,861,152,861,920,224,3097,400,1607
367,3068,509,1936,846,2410,510,2814,119,1644,406
368,1948,421,967,653,2891,48,920,224,810,277
369,1951,2770,1952,1141,2323,1768,861,920,224,810
370,1521,1535,333,861,425,510,2814,119,1644,1850
371,1234,3152,1858,861,425,758,2814,119,1644,2131
372,1521,3152,1798,2666,846,654,48,920,1144,1761
373,1234,3152,496,3154,861,2297,48,920,224,3097
374,2554,1417,2872,507,861,1974,861,920,224,3097
375,1951,2770,1464,861,152,1281,2814,119,1644,1850
376,2846,3152,333,861,2089,3116,2814,119,1644,667
377,308,3152,1460,656,846,673,3164,920,1144,1761
378,2248,1535,3059,1014,653,1740,1085,920,224,810
379,1521,2142,3059,861,425,2282,920,224,810,1845
380,1234,3152,899,507,861,960,2282,920,1144,1761
381,1951,2770,1356,2024,846,45,1047,920,224,2798
382,1550,3152,1779,507,861,231,2323,920,224,2798
383,515,1222,642,907,507,2762,653,2322,2928,3151
384,2605,619,1464,653,2668,1174,2814,119,1644,2681
385,1948,421,2121,2992,861,2484,1085,920,224,3097
386,1234,3152,1186,861,420,48,920,224,810,1161
387,1948,3152,747,861,2433,3164,920,224,810,1161
388,515,165,967,653,1569,1649,920,224,810,2204
389,1121,1417,1301,2928,2198,1174,2814,119,451,3161
390,308,3152,937,2928,2063,920,224,810,2201,1108
391,515,294,1936,2928,1785,2003,920,224,810,1369
392,1948,421,1936,861,1955,1085,920,224,2867,635
393,670,2770,490,2928,1659,48,920,1907,2185,298
394,1951,421,1301,48,693,1649,920,1907,2185,2538
395,2598,2465,2481,861,537,2323,920,1907,2185,2538
396,1951,421,1936,772,861,150,2063,920,224,810
397,2598,1417,1318,861,1751,2063,920,224,2867,588
398,1948,421,1909,653,1093,2003,920,224,810,545
399,1234,3152,937,653,2668,2063,920,1907,2185,1043
400,1550,2770,2663,1047,1649,920,1907,2185,1043,635
401,2846,421,2556,2928,1659,2003,920,224,810,2964
402,670,1713,2481,653,2668,846,920,1907,2185,1043
403,1951,3152,1909,861,425,510,2814,119,1644,797
404,1951,3152,1828,861,213,2063,920,224,3097,615
405,1948,3152,629,87,846,1881,2323,920,224,3097
406,1521,1191,583,1994,861,2611,1085,920,224,810
407,308,3152,967,846,609,1085,920,224,810,553
408,2605,509,937,861,152,1649,920,224,3097,1391
409,1554,1535,1681,846,1881,2330,2814,119,1644,66
410,308,583,653,2668,2063,920,224,3097,1001,1968
411,1554,509,1464,1117,846,3103,1174,920,224,810
412,2665,1417,2334,861,2484,2063,920,224,3097,706
413,1550,1417,452,2515,653,1304,2928,920,224,810
414,1051,221,1464,861,213,1085,920,224,810,545
415,1234,3152,1081,2716,861,152,846,920,224,3097
416,1951,3152,357,861,1974,861,920,1907,2185,1043
417,3048,1079,452,653,2243,2003,920,224,810,602
418,2069,1417,3091,2928,2012,3164,920,224,810,2964
419,1521,1191,2984,653,2224,1085,920,224,3097,400
420,2846,1713,967,702,861,2484,3023,920,224,810
421,1948,3152,2281,653,2668,2063,920,224,810,2604
422,2598,3152,1464,653,600,1085,920,224,810,2964
423,308,1318,861,152,2919,920,224,810,545,1295
424,2554,1417,1936,861,425,1174,920,224,810,602
425,308,1464,2928,131,2063,920,224,810,394,2732
426,3068,911,1541,861,2164,48,920,1907,2185,1043
427,438,294,2334,653,2243,757,920,224,810,2964
428,1550,3152,1053,1438,861,2297,861,920,224,3097
429,2347,619,496,861,425,1085,920,224,3097,615
430,308,3152,1622,656,653,359,3084,920,224,3097
431,1234,3152,1909,861,425,2330,2814,119,1644,1850
432,308,333,861,107,3062,2814,119,1644,667,1656
433,1051,294,3091,861,2484,1777,2814,119,451,1718
434,2554,619,516,236,846,1372,48,920,224,810
435,2846,2918,1909,861,107,2003,920,224,810,2964
436,2858,2918,2984,100,653,1403,48,920,224,810
437,1234,3152,885,1162,861,231,846,920,224,810
438,1234,3152,967,846,1881,3023,920,224,810,545
439,89,1417,3059,861,107,1649,920,224,2867,1968
440,1234,3152,677,653,811,1649,920,1907,2185,298
441,308,2334,98,846,3103,653,920,224,810,1302
442,1951,2770,2334,1894,653,2243,1085,920,224,810
443,2554,476,2620,236,861,2260,861,920,224,810
444,1234,3152,1778,767,653,1740,2282,920,224,810
445,1726,1535,2281,2769,861,425,846,920,224,810
446,1951,2770,2263,861,425,992,2814,119,1644,667
447,1234,3152,2334,265,653,2956,1085,920,224,810
448,2554,476,2334,653,811,3164,920,224,810,553
449,1948,3152,3091,674,846,1122,2282,920,224,810
450,1521,3152,2334,40,2928,1126,48,920,224,810
451,1234,3152,1301,2500,861,213,2063,920,224,810
452,1449,1535,1294,2928,1126,1777,920,224,810,269
453,2605,619,2334,861,213,1085,920,224,810,394
454,2846,2918,516,319,2323,2658,48,920,1907,2185
455,1948,3152,1523,1657,2928,497,846,920,224,810
456,308,3152,1186,653,1499,1777,920,224,810,85
457,2605,1191,1301,2323,2658,846,920,224,810,8
458,308,3152,2481,1047,2063,920,1907,2185,2538,1108
459,1951,3152,2984,2251,653,1093,846,920,224,810
460,2347,433,2952,2928,48,920,224,810,1614,2549
461,1234,3152,1294,861,1955,3164,920,224,2581,1764
462,1948,421,1541,653,2071,846,920,224,810,2549
463,1948,421,1294,861,1842,3164,920,224,810,2807
464,308,3152,937,861,2013,48,920,224,810,2645
465,308,3152,1274,861,1955,1085,920,224,810,1391
466,1121,2060,1464,2240,846,2176,757,920,224,810
467,2846,476,516,2809,2323,2298,653,920,1907,2185
468,2554,294,1541,653,2033,1649,920,1907,2185,1043
469,1948,3152,2937,861,44,3164,920,224,810,1302
470,1051,1079,1464,861,2533,757,920,1907,2185,2538
471,308,496,1846,861,152,846,920,224,810,130
472,1951,421,2481,807,653,1569,1649,920,1907,2185
473,1133,2060,677,653,1093,2282,920,224,810,545
474,1951,3152,2937,1931,861,736,48,920,1907,2185
475,1948,1565,2192,861,1615,846,920,224,810,1391
476,308,3152,333,846,2410,1747,2814,119,1644,326
477,1449,378,496,846,759,1649,920,224,2867,2549
478,3040,1222,206,961,861,1974,3164,920,224,3097
479,308,496,861,2164,1649,920,224,3097,615,1656
480,308,3152,496,846,1372,1085,920,224,3097,706
481,1951,3152,846,759,2919,2814,119,1644,1656,1108
482,1948,3152,1465,1433,861,1974,1174,920,224,3097
483,2846,2918,2440,2203,861,1974,1047,920,224,3097
484,1234,3152,981,861,1320,1777,920,224,3097,1656
485,1234,3152,3059,861,1594,691,2814,119,1644,2131
486,1948,3152,2702,861,1974,2928,920,1144,1761,760
487,2598,2060,1778,861,2073,2282,920,224,810,3142
488,1948,3152,846,1924,758,2814,119,1644,2131,2549
489,1234,3152,1351,2094,2928,2485,2323,920,1144,1761
490,515,1943,333,846,1924,1281,2814,119,1644,547
491,1234,3152,1909,846,2410,1281,2814,119,1644,698
492,1948,3152,2255,947,861,44,861,920,224,2798
493,1521,1535,496,385,2323,846,920,224,810,130
494,1234,3152,146,807,653,402,48,920,1144,1761
495,1951,165,1294,2928,131,3045,2814,119,1644,66
496,1948,3152,1301,861,621,2063,920,224,810,602
497,1521,1222,333,653,1093,691,2814,119,1644,2244
498,2554,3152,1464,2928,1126,757,920,224,810,1428
499,515,1222,2281,846,1881,1085,920,224,3097,615
500,2347,2446,2121,2928,473,2063,920,224,3097,329
501,308,3152,2984,2251,861,489,2282,920,224,3097
502,3048,3152,591,1841,2108,653,2853,2928,920,1144
503,308,3152,496,1911,2928,461,48,920,224,2798
504,1951,2770,2334,861,425,1649,920,224,810,1369
505,1521,421,1301,2323,1085,920,224,810,2101,1075
506,1948,421,3091,2928,188,1085,920,224,810,2964
507,2605,2918,1246,2928,1825,1085,920,224,3097,706
508,3040,509,3047,620,3144,2928,1020,861,920,1907
509,2846,619,333,846,1122,2919,2814,119,1644,1850
510,1948,421,1053,861,2505,1649,920,224,3097,400
511,1951,3152,2281,2315,653,2668,3164,920,224,810
512,1948,3152,1936,861,489,2919,2814,119,1644,547
513,2554,1417,1081,1911,846,759,48,920,224,3097
514,2347,1222,1081,861,2484,2323,920,224,810,972
515,1550,2060,1301,861,2484,2063,920,224,3097,1491
516,308,1541,861,44,2282,920,1907,1612,795,1656
517,2248,2060,2281,653,248,3023,920,224,810,602
518,1951,1565,1523,846,1881,1649,920,224,810,3142
519,1234,3152,1513,186,846,759,2063,920,224,810
520,1948,3152,1541,653,1061,2330,2814,2922,2293,10
521,308,3152,581,127,846,759,2063,920,224,810
522,1234,3152,2984,1632,861,152,2003,2814,119,1644
523,1234,3152,1936,1632,861,107,2919,2814,119,1644
524,1948,421,3022,2053,846,2639,846,920,1144,1761
525,1951,3152,1522,1297,846,1203,48,920,224,810
526,308,2963,861,2484,3164,920,224,2798,606,2478
527,1951,3152,2984,1515,846,1881,757,920,224,3097
528,1948,421,1053,653,2119,2063,920,224,3097,706
529,1554,1191,833,1047,1085,920,224,810,553,2549
530,1234,3152,2872,1297,861,2484,846,920,224,3097
531,1521,3152,2256,2504,507,861,1546,861,978,920
532,1550,1191,87,846,2987,861,920,224,3097,329
533,1550,1191,496,861,621,861,920,224,810,551
534,1234,3152,2758,116,653,846,920,224,3097,615
535,1951,3152,2104,450,861,2073,653,920,224,3097
536,1951,165,2104,2587,846,609,846,920,224,810
537,1948,421,1523,653,1403,2063,920,224,810,708
538,1449,294,352,861,2297,653,920,1144,1906,646
539,515,3152,1936,861,1594,3023,920,224,810,2964
540,2347,2918,1798,861,2073,861,920,224,3097,1291
541,1234,3152,2256,2504,507,861,218,3084,365,920
542,2069,1417,2281,3154,846,1203,1649,920,224,810
543,515,2142,1909,861,2089,1281,2814,119,1644,1850
544,2248,509,1936,861,489,2003,920,224,810,394
545,3040,2918,2984,846,1203,2003,920,224,810,1614
546,1051,3152,1081,1515,861,1437,653,920,224,810
547,308,3152,1798,270,846,1203,1649,920,224,3097
548,1234,3152,899,485,2394,861,2427,2323,920,1144
549,1948,3152,3059,846,2410,691,2814,119,1644,698
550,3068,509,1301,861,213,2282,920,224,810,602
551,308,3152,3022,1407,861,1974,846,920,224,3097
552,3040,2918,1294,861,425,757,920,224,810,394
553,1521,1535,2121,293,846,151,1649,920,1907,1612
554,308,3152,498,3134,846,984,2063,920,1907,2185
555,1051,2770,677,846,1203,1085,920,1907,2185,1424
556,1234,3152,1464,653,2224,2282,920,1907,2185,2497
557,1234,3152,481,653,210,846,920,224,810,69
558,454,2770,357,1759,846,673,1085,920,224,2798
559,308,3152,2937,861,2124,846,920,1907,2185,2793
560,1521,1535,2481,653,210,861,920,1907,2185,1043
561,1521,1535,2952,861,2484,2928,920,224,810,553
562,89,1222,3163,861,152,2282,920,224,810,602
563,1051,2918,2334,846,759,1777,920,224,810,1103
564,1051,1191,1538,846,1372,1085,920,224,810,553
565,2554,2060,603,861,152,757,920,224,810,2604
566,2347,509,1541,846,759,2919,920,1907,2185,1496
567,1948,3152,2984,653,2668,48,920,224,810,2604
568,89,1417,603,861,468,3023,920,224,810,394
569,515,221,1779,832,653,2853,861,920,1907,2302
570,308,3152,1301,653,2668,2063,920,224,810,2604
571,2554,1222,2984,991,653,2668,2063,920,224,810
572,2554,2060,2984,1846,653,1225,861,920,224,810
573,670,1535,885,56,861,44,3164,920,1907,1612
574,1948,3152,1464,2622,2928,1126,1085,920,1907,2185
575,3068,1417,1909,861,107,2919,920,224,810,338
576,1521,2142,1513,861,152,2928,920,224,810,553
577,515,294,2663,570,653,1569,48,920,1907,2185
578,1948,3152,677,702,2928,461,2282,920,224,810
579,2605,1222,2334,861,425,757,920,224,810,2964
580,1951,3152,1301,861,152,3023,920,224,810,545
581,1550,509,2334,300,861,152,757,920,224,810
582,308,3152,2066,2407,2925,653,287,861,920,1907
583,1449,2446,1936,2698,653,1539,1777,920,224,810
584,1449,2060,1301,2928,473,48,920,224,3097,400
585,1951,3152,677,2323,2070,2063,920,224,810,1620
586,308,3152,1828,861,213,3164,920,224,810,551
587,1948,3152,1541,3162,1047,1263,48,920,1907,1612
588,1951,2770,2334,2928,1785,1085,920,224,810,1913
589,89,1535,583,2323,2766,1085,920,224,2867,1108
590,89,378,1246,653,48,920,224,810,1614,1195
591,1234,3152,2984,1911,861,823,1649,920,224,810
592,308,1541,570,653,2282,920,1907,2185,358,2912
593,1951,3152,937,295,1047,3127,1085,920,1907,2185
594,89,294,1294,1632,861,1746,757,920,224,810
595,454,3152,1301,1911,653,2703,2282,920,224,810
596,1234,3152,1513,633,2928,2012,2282,920,224,3097
597,2846,619,1909,2928,1126,1777,920,224,810,1391
598,1051,1943,937,653,2243,846,920,224,3097,706
599,1449,1417,333,48,758,2814,119,1644,2244,2549
600,1948,421,3022,2928,303,3164,920,224,3097,329
601,1521,421,496,846,673,2003,920,224,3097,400
602,1234,3152,452,861,489,757,920,224,810,269
603,1234,3152,3059,846,3103,1281,2814,119,1644,66
604,1234,3152,1466,163,656,653,2322,846,920,1144
605,1521,3152,2984,295,861,152,2282,920,224,3097
606,308,3152,496,846,1881,757,920,224,3097,400
607,1521,3152,2300,653,210,2063,920,224,3097,2916
608,2554,2465,2387,2716,861,1974,861,920,224,3097
609,1948,3152,49,198,507,861,2427,3164,920,1144
610,1133,1417,1523,861,425,3164,920,224,810,1063
611,2605,509,1381,1467,2765,507,3090,3075,861,1114
612,2347,378,490,385,861,1974,1174,2814,119,1644
613,1234,3152,1301,846,1203,3164,920,224,3097,706
614,1948,3152,357,1498,861,231,3164,920,224,3097
615,1951,1565,1936,861,1594,3045,2814,119,1644,2906
616,1521,3152,2334,2887,861,1746,3164,920,224,810
617,1521,421,2984,653,2703,1085,920,224,810,2739
618,1234,3152,1053,385,861,213,3084,920,224,810
619,1234,3152,677,653,811,1649,920,224,810,2737
620,1951,3152,1909,861,425,1777,920,224,810,2117
621,1234,3152,3059,846,2787,2282,920,224,810,2827
622,1951,2770,1016,3089,861,1974,1281,2814,119,451
623,438,1191,2121,3,653,1727,653,920,224,810
624,1948,421,352,861,187,846,920,224,3097,1722
625,89,1191,1081,1999,846,1203,861,920,224,3097
626,1640,3152,1047,2775,3164,920,1907,2185,2538,1656
627,308,3152,1464,861,1955,757,920,224,2867,1656
628,2352,1535,333,653,1539,510,2814,119,1644,1108
629,308,3152,452,861,425,2282,920,224,810,588
630,1554,3152,1351,2094,1047,1458,48,920,1144,1761
631,454,509,1909,861,107,2330,2814,119,1644,547
632,2605,433,937,1617,861,1974,3084,920,224,3097
633,1948,421,3059,861,489,48,920,224,810,1369
634,1948,3152,516,653,2668,757,920,1907,1612,2327
635,1951,3152,333,846,2410,1281,2814,119,1644,1850
636,515,221,1129,1396,861,2297,1047,920,224,810
637,308,3152,1301,2928,1659,3164,920,1907,2185,1043
638,515,294,1081,653,600,2928,920,224,393,1664
639,1234,3152,2620,1202,653,1430,1047,920,224,810
640,2846,2446,496,861,1621,861,920,224,810,1895
641,2846,421,1301,861,44,48,920,1907,2185,1043
642,2352,1535,1909,653,1539,2282,920,224,810,545
643,2846,3152,937,2928,473,2063,920,224,810,1614
644,2554,619,1301,1846,653,784,2282,920,224,810
645,1951,1565,1936,861,1955,861,920,224,810,85
646,1948,3152,1053,2323,1963,846,920,1907,2185,1043
647,308,2984,861,213,653,920,224,810,602,2384
648,1234,3152,583,2928,473,846,920,224,810,602
649,1521,1696,1301,2928,495,861,920,1907,2185,1043
650,2248,294,2334,653,2243,1047,920,224,810,1302
651,2554,619,1301,135,861,213,2282,920,224,810
652,1951,3152,967,2928,497,48,920,224,810,553
653,1121,911,2818,2053,861,44,3023,920,224,810
654,2347,3152,2281,653,600,2063,920,224,810,18
655,1521,3152,90,861,2611,1085,920,224,810,553
656,2347,509,2066,3144,2928,1605,653,2563,920,1907
657,1948,3152,2281,861,213,1777,920,224,3097,1491
658,1234,3152,3059,653,2243,757,920,224,810,972
659,1234,3152,937,653,1569,2063,920,224,810,774
660,2554,166,3047,3144,861,960,846,920,1907,1612
661,2605,619,1936,653,2243,2063,920,224,810,1063
662,1550,1417,1792,1401,861,152,1085,920,1907,1612
663,515,1222,677,861,1955,1085,920,1907,2185,298
664,1234,3152,2334,2251,861,1594,2063,920,224,810
665,194,1417,967,846,2787,1085,920,224,810,2964
666,1234,3152,1936,653,2243,2282,920,224,810,545
667,308,3152,496,861,2845,2063,920,224,3097,400
668,2554,619,333,2622,2928,473,3023,920,224,810
669,1948,3152,2984,653,2668,861,920,224,810,553
670,1948,3152,1952,861,44,2063,920,224,3097,400
671,1051,433,490,861,283,1649,920,224,810,2964
672,454,3152,2192,656,861,1974,757,920,1907,1612
673,515,294,1681,653,811,2282,920,1907,2185,298
674,1521,168,3047,1490,1354,653,181,3164,2376,920
